Date,Open,High,Low,Close,Volume,Adj Close
2012-11-20,1022.00,1030.00,1021.00,1025.00,1662800,1025.00
2012-11-19,1025.00,1031.00,1018.00,1028.00,1979900,1028.00
2012-11-16,1026.00,1037.00,1021.00,1021.00,1875200,1021.00
2012-11-15,1037.00,1043.00,1025.00,1027.00,1680600,1027.00
2012-11-14,1048.00,1050.04,1041.00,1043.00,1187500,1043.00
2012-11-13,1047.00,1055.00,1038.00,1053.00,1740400,1053.00
2012-11-12,1050.00,1055.00,1041.00,1046.00,1329000,1046.00
2012-11-09,1048.00,1059.00,1037.00,1050.00,1415500,1050.00
2012-11-08,1057.00,1065.00,1039.00,1048.00,2169200,1048.00
2012-11-07,1071.00,1078.00,1044.00,1044.00,1944700,1044.00
2012-11-06,1063.00,1065.00,1049.00,1063.00,1879000,1063.00
2012-11-05,1075.00,1075.00,1059.47,1060.00,1628100,1060.00
2012-11-02,1067.00,1080.00,1064.00,1079.00,1695700,1079.00
2012-11-01,1068.00,1074.00,1055.00,1066.00,2414600,1066.00
2012-10-31,1074.00,1081.27,1068.00,1070.00,1507900,1070.00
2012-10-30,1071.00,1078.00,1069.00,1076.00,708300,1076.00
2012-10-29,1061.00,1075.60,1059.00,1073.00,887100,1073.00
2012-10-26,1070.00,1078.00,1060.00,1065.00,1688400,1065.00
2012-10-25,1080.00,1084.00,1075.00,1076.00,1812400,1076.00
2012-10-24,1082.00,1087.00,1066.00,1077.00,1876700,1077.00
2012-10-23,1076.00,1096.00,1076.00,1087.00,4637600,1087.00
2012-10-22,1071.00,1071.00,1044.00,1047.00,2136200,1047.00
2012-10-18,1073.00,1088.00,1071.00,1085.00,1455100,1085.00
2012-10-17,1085.00,1087.00,1067.00,1071.00,1264400,1071.00
2012-10-16,1074.00,1088.00,1072.98,1081.00,1372900,1081.00
2012-10-15,1058.00,1073.00,1056.00,1069.00,806100,1069.00
2012-10-10,1064.00,1066.00,1053.00,1060.00,1381200,1060.00
2012-10-09,1077.00,1077.00,1064.00,1067.00,893800,1067.00
2012-10-05,1060.00,1075.00,1058.00,1072.00,1734300,1072.00
2012-10-04,1054.00,1060.91,1050.00,1056.00,1125700,1056.00
2012-10-03,1048.00,1055.00,1044.00,1051.00,938400,1051.00
2012-10-02,1045.00,1058.00,1043.00,1050.00,1245500,1050.00
2012-10-01,1029.00,1059.00,1029.00,1049.00,1776900,1049.00
2012-09-28,1038.00,1049.00,1029.00,1029.00,1751600,1029.00
2012-09-27,1032.00,1037.00,1024.00,1031.00,2061400,1031.00
2012-09-25,1030.00,1036.00,1027.00,1033.00,1094100,1033.00
2012-09-24,1025.00,1034.00,1022.00,1032.00,972700,1032.00
2012-09-21,1037.00,1041.00,1026.00,1032.00,2589500,1032.00
2012-09-20,1028.00,1039.00,1022.00,1034.00,1505700,1034.00
2012-09-19,1033.00,1038.00,1027.00,1033.00,1299100,1033.00
2012-09-18,1025.00,1037.00,1021.00,1034.00,1634100,1034.00
2012-09-17,1029.00,1036.00,1023.00,1027.00,1225000,1027.00
2012-09-14,1019.00,1037.00,1009.00,1031.00,1822800,1031.00
2012-09-13,1004.00,1008.00,1000.00,1002.00,1623800,1002.00
2012-09-12,1012.00,1018.00,1003.00,1006.00,1926600,1006.00
2012-09-11,1023.00,1025.00,1011.00,1013.00,3512100,1013.00
2012-09-10,1024.00,1032.00,1019.00,1025.00,1200400,1025.00
2012-09-07,1021.00,1027.00,1013.00,1022.00,1534400,1022.00
2012-09-06,1000.00,1021.00,999.00,1020.00,1506600,1020.00
2012-09-05,990.50,1005.00,989.00,1002.00,1584600,1002.00
2012-09-03,1000.00,1019.00,997.50,1015.00,1242400,1015.00
2012-08-31,992.50,1016.00,988.50,1004.00,1582900,1004.00
2012-08-30,992.00,997.50,987.50,994.00,1818400,994.00
2012-08-29,991.00,998.02,985.50,992.50,1025800,992.50
2012-08-28,991.50,994.00,981.76,993.50,1160600,993.50
2012-08-24,995.00,1001.00,987.00,991.00,1027800,991.00
2012-08-23,1009.00,1010.00,993.00,994.50,970700,994.50
2012-08-22,1009.00,1009.00,993.50,998.00,1328300,998.00
2012-08-21,999.00,1013.00,995.50,1011.00,1085300,1011.00
2012-08-20,999.00,1001.00,990.00,995.00,1051800,995.00
2012-08-17,989.00,999.00,986.00,996.50,3088600,996.50
2012-08-16,1005.00,1005.00,985.00,989.50,2568900,989.50
2012-08-15,993.00,1005.00,992.00,1002.00,4149100,1002.00
2012-08-14,989.00,995.00,984.50,992.00,1640700,992.00
2012-08-13,978.00,983.00,976.50,983.00,4402700,983.00
2012-08-10,979.00,982.00,972.50,978.50,1058900,978.50
2012-08-09,982.50,986.00,972.00,978.50,1326300,978.50
2012-08-08,970.50,977.50,964.00,977.50,1264300,977.50
2012-08-07,971.50,976.50,959.50,976.00,2650800,976.00
2012-08-06,966.00,977.00,959.00,971.50,703900,971.50
2012-08-03,950.00,972.44,949.50,968.00,1561800,968.00
2012-08-02,960.00,964.50,944.50,944.50,1844700,944.50
2012-08-01,952.50,964.00,948.87,961.00,1522500,961.00
2012-07-31,965.50,967.50,949.00,949.00,2419000,949.00
2012-07-27,968.00,970.58,958.50,963.00,2261200,963.00
2012-07-26,940.00,962.50,933.50,962.50,1742700,962.50
2012-07-25,933.50,943.50,932.00,937.00,6827900,937.00
2012-07-24,933.50,940.50,930.50,934.00,945900,934.00
2012-07-23,949.50,951.50,928.50,932.50,1413700,932.50
2012-07-20,964.50,971.50,956.00,961.00,2198700,961.00
2012-07-19,949.50,969.50,948.00,965.50,1534300,965.50
2012-07-18,935.50,949.00,927.50,949.00,4911000,949.00
2012-07-17,936.00,939.00,926.00,931.50,1783600,931.50
2012-07-16,928.50,940.00,925.00,932.00,1436600,932.00
2012-07-13,935.00,965.00,918.50,932.00,3518400,932.00
2012-07-12,952.50,958.00,938.00,951.00,2778000,951.00
2012-07-11,970.50,974.00,949.50,957.50,1571500,957.50
2012-07-10,961.50,985.50,961.50,973.50,3121600,973.50
2012-07-09,944.00,957.50,940.00,956.00,2430500,956.00
2012-07-06,954.50,955.50,939.00,943.00,2121200,943.00
2012-07-05,928.50,954.50,925.50,954.00,3858000,954.00
2012-07-04,921.50,930.50,919.50,926.00,1710200,926.00
2012-07-03,919.50,923.50,914.00,923.50,2464300,923.50
2012-07-02,914.50,928.93,904.50,916.00,2259100,916.00
2012-06-29,910.00,915.50,899.00,900.50,2735300,900.50
2012-06-28,903.50,906.50,890.50,899.00,1432800,899.00
2012-06-27,904.00,905.00,895.50,901.00,2244800,901.00
2012-06-26,910.00,910.00,895.00,899.50,1556400,899.50
2012-06-25,912.50,915.00,903.00,906.50,2019000,906.50
2012-06-22,919.00,921.50,905.50,911.50,1654000,911.50
2012-06-21,930.00,935.50,920.50,923.50,1805600,923.50
2012-06-20,928.50,934.00,915.00,934.00,2122600,934.00
2012-06-19,938.00,942.00,918.50,938.00,2023500,938.00
2012-06-18,938.00,941.50,919.00,933.50,1816800,933.50
2012-06-15,941.50,941.50,920.70,925.00,4864200,925.00
2012-06-14,933.50,939.26,918.50,936.50,1856000,936.50
2012-06-13,946.50,952.00,928.50,938.50,2042400,938.50
2012-06-12,934.00,946.00,926.00,941.50,8827600,941.50
2012-06-11,957.50,957.50,935.50,938.50,2116300,938.50
2012-06-08,931.50,941.00,925.50,938.00,2110800,938.00
2012-06-07,933.00,937.50,922.00,934.50,1972900,934.50
2012-06-06,940.00,940.00,901.00,924.50,2661900,924.50
2012-06-01,908.50,908.50,884.00,896.00,3280100,896.00
2012-05-31,902.00,909.00,897.50,905.00,2414800,905.00
2012-05-30,912.00,914.00,896.50,897.00,1856400,897.00
2012-05-29,910.00,920.50,908.00,919.00,1238500,919.00
2012-05-28,905.00,918.50,903.50,907.00,945900,907.00
2012-05-25,899.50,911.29,897.00,903.00,1737300,903.00
2012-05-24,891.00,902.00,882.50,899.50,1472100,899.50
2012-05-23,891.00,900.00,887.50,888.00,4597400,888.00
2012-05-22,882.50,901.50,882.50,899.00,1668200,899.00
2012-05-21,866.00,884.00,865.50,880.00,1509800,880.00
2012-05-18,875.00,877.00,859.00,870.00,2055000,870.00
2012-05-17,888.50,891.50,873.50,882.00,1607100,882.00
2012-05-16,885.00,891.78,872.50,890.00,3649900,890.00
2012-05-14,923.50,932.50,912.50,921.00,1547700,921.00
2012-05-11,922.00,930.00,910.50,928.50,3672800,928.50
2012-05-10,960.00,960.00,910.00,910.00,5361100,910.00
2012-05-09,945.50,954.50,934.86,942.25,2057200,942.25
2012-05-08,971.50,972.00,947.50,947.50,2267500,947.50
2012-05-04,994.00,994.00,967.00,971.00,1846100,971.00
2012-05-03,999.00,1004.00,990.50,995.00,2152800,995.00
2012-05-02,998.00,1005.00,991.00,997.50,3531800,997.50
2012-05-01,977.50,993.78,971.00,991.00,723700,991.00
2012-04-30,982.50,989.00,972.50,972.50,2454900,972.50
2012-04-27,979.00,986.50,975.00,980.50,1781500,980.50
2012-04-26,980.00,991.50,973.00,981.00,1458700,981.00
2012-04-25,974.50,981.00,969.00,972.50,1773400,972.50
2012-04-24,961.50,973.69,960.50,969.50,1317600,969.50
2012-04-23,995.00,995.00,956.50,965.00,1406500,965.00
2012-04-20,995.00,999.00,989.50,998.00,1289400,998.00
2012-04-19,989.50,999.00,984.50,996.50,1938500,996.50
2012-04-18,982.00,984.50,973.50,984.50,1404600,984.50
2012-04-17,974.50,983.00,965.50,982.00,2133600,982.00
2012-04-16,973.00,984.50,973.00,975.00,1416300,975.00
2012-04-13,995.00,995.00,977.50,978.00,1611400,978.00
2012-04-12,964.50,995.50,964.50,993.50,2161500,993.50
2012-04-11,955.00,970.50,954.00,965.00,16000200,965.00
2012-04-10,959.50,966.50,950.00,957.50,2246400,957.50
2012-04-05,970.00,975.00,961.00,968.00,2166800,968.00
2012-04-04,990.50,995.00,969.00,971.50,2319600,971.50
2012-04-03,999.50,1002.00,992.57,995.50,1863500,995.50
2012-04-02,976.00,996.50,971.50,996.50,2399400,996.50
2012-03-30,979.00,982.86,968.00,974.50,2434200,974.50
2012-03-29,987.50,988.50,972.00,977.00,1622100,977.00
2012-03-28,989.50,994.50,981.50,990.50,2626000,990.50
