Date,Open,High,Low,Close,Volume,Adj Close
2012-11-21,1985.55,2002.52,1977.27,2000.0,1420318,2000.0
2012-11-22,2043.36,2081.67,2017.81,2024.09,3856010,2024.09
2012-11-23,2050.69,2062.48,2040.71,2045.11,4483078,2045.11
2012-11-24,2028.51,2090.45,2007.57,2052.67,3778655,2052.67
2012-11-25,2047.7,2079.83,2044.64,2061.24,4184952,2061.24
2012-11-26,2015.67,2043.39,2000.31,2023.4,2184117,2023.4
2012-11-27,2098.87,2134.21,2098.78,2103.21,2392171,2103.21
2012-11-28,2082.36,2149.1,2049.29,2117.09,4309737,2117.09
2012-11-29,2142.75,2167.58,2113.25,2131.88,2842390,2131.88
2012-11-30,2168.89,2215.97,2162.94,2174.72,4322849,2174.72
2012-12-01,2220.7,2234.28,2180.43,2204.64,4982673,2204.64
2012-12-02,2224.04,2236.56,2174.63,2214.8,3212188,2214.8
2012-12-03,2197.95,2255.49,2152.72,2206.39,1646503,2206.39
2012-12-04,2217.71,2258.25,2196.15,2241.3,2567305,2241.3
2012-12-05,2274.81,2317.03,2239.92,2295.69,3548437,2295.69
2012-12-06,2362.78,2389.48,2334.16,2339.67,662425,2339.67
2012-12-07,2252.87,2264.85,2231.01,2234.2,3848162,2234.2
2012-12-08,2224.55,2235.14,2198.96,2220.16,3060894,2220.16
2012-12-09,2196.85,2212.17,2172.36,2187.6,799910,2187.6
2012-12-10,2268.9,2305.93,2227.57,2231.76,2894030,2231.76
2012-12-11,2221.72,2239.65,2183.57,2224.02,3742106,2224.02
2012-12-12,2240.36,2310.47,2234.21,2270.69,4690611,2270.69
2012-12-13,2277.77,2303.17,2263.18,2297.32,2301615,2297.32
2012-12-14,2240.0,2246.84,2168.79,2206.88,4497131,2206.88
2012-12-15,2162.13,2186.39,2160.43,2184.46,2713578,2184.46
2012-12-16,2268.88,2315.05,2266.89,2276.95,3984550,2276.95
2012-12-17,2233.9,2285.69,2199.81,2266.27,1158007,2266.27
2012-12-18,2269.1,2286.14,2253.71,2260.17,4938864,2260.17
2012-12-19,2223.45,2284.14,2183.9,2250.11,4055220,2250.11
2012-12-20,2330.47,2336.15,2305.87,2308.05,706492,2308.05
2012-12-21,2284.71,2291.5,2256.8,2268.96,3518002,2268.96
2012-12-22,2282.46,2315.79,2251.95,2290.55,2490678,2290.55
2012-12-23,2201.88,2214.97,2195.64,2213.51,1102340,2213.51
2012-12-24,2178.3,2203.79,2146.22,2186.74,4153931,2186.74
2012-12-25,2143.29,2159.93,2107.98,2145.59,1419624,2145.59
2012-12-26,2151.11,2156.64,2119.21,2136.09,3320412,2136.09
2012-12-27,2142.7,2157.58,2091.42,2125.42,3705398,2125.42
2012-12-28,2118.85,2149.13,2086.27,2119.95,999912,2119.95
2012-12-29,2148.52,2163.87,2135.07,2152.44,1384067,2152.44
2012-12-30,2100.08,2137.31,2078.22,2131.84,4731517,2131.84
2012-12-31,2179.21,2183.21,2168.97,2171.41,3236275,2171.41
2013-01-01,2285.59,2315.16,2234.28,2242.98,1903374,2242.98
2013-01-02,2218.22,2245.02,2191.06,2210.42,3584958,2210.42
2013-01-03,2258.43,2293.8,2235.56,2237.84,3284762,2237.84
2013-01-04,2259.25,2269.02,2241.81,2255.11,1879410,2255.11
2013-01-05,2262.48,2279.22,2199.36,2248.23,2442217,2248.23
2013-01-06,2293.8,2339.0,2286.03,2317.32,2536321,2317.32
