Date,Open,High,Low,Close,Volume,Adj Close
2012-11-21,795.47,807.2,778.61,800.0,631924,800.0
2012-11-22,784.96,808.85,769.12,796.65,4269327,796.65
2012-11-23,792.46,806.51,791.76,802.55,3541307,802.55
2012-11-24,794.28,810.77,777.96,797.39,3318785,797.39
2012-11-25,784.9,797.61,778.87,782.21,3100316,782.21
2012-11-26,814.57,829.74,804.65,815.37,3652121,815.37
2012-11-27,829.83,839.47,818.56,822.1,4045746,822.1
2012-11-28,831.86,837.48,815.56,828.91,1805857,828.91
2012-11-29,805.77,816.94,804.54,814.7,835822,814.7
2012-11-30,811.87,818.13,803.96,805.84,2783764,805.84
2012-12-01,821.35,821.9,800.93,814.62,3644295,814.62
2012-12-02,808.39,817.27,803.94,813.2,3067164,813.2
2012-12-03,808.94,836.87,806.46,827.93,2666583,827.93
2012-12-04,856.56,873.63,836.12,852.11,3345316,852.11
2012-12-05,833.36,836.46,824.9,834.1,2599400,834.1
2012-12-06,809.18,821.38,798.49,813.86,3880322,813.86
2012-12-07,838.65,839.59,819.74,829.71,4557339,829.71
2012-12-08,832.53,845.05,826.54,829.54,2719908,829.54
2012-12-09,842.28,846.52,835.68,840.12,2221361,840.12
2012-12-10,868.32,876.32,852.64,860.64,4055489,860.64
2012-12-11,863.82,898.54,852.68,880.95,1408091,880.95
2012-12-12,863.35,879.94,842.42,853.51,623840,853.51
2012-12-13,867.15,872.17,850.53,863.37,4104529,863.37
2012-12-14,896.5,901.16,879.57,887.37,3751786,887.37
2012-12-15,882.89,893.67,874.73,884.68,4359857,884.68
2012-12-16,867.96,872.99,867.21,872.11,4184627,872.11
2012-12-17,861.61,870.1,851.26,857.7,1832205,857.7
2012-12-18,852.8,867.54,841.42,861.53,1632989,861.53
2012-12-19,865.3,872.19,841.26,852.65,1793975,852.65
2012-12-20,860.74,862.95,841.01,850.73,4558498,850.73
2012-12-21,823.28,835.96,816.47,832.97,1533811,832.97
2012-12-22,847.89,850.3,835.64,837.87,1171687,837.87
2012-12-23,827.1,830.15,818.46,824.0,4069143,824.0
2012-12-24,807.85,817.1,789.44,797.07,3983633,797.07
2012-12-25,811.95,818.48,802.13,809.1,1598893,809.1
2012-12-26,783.26,814.16,782.47,798.55,1416838,798.55
