Date,Open,High,Low,Close,Volume,Adj Close
2012-11-21,902.49,905.8,891.14,900.0,2541809,900.0
2012-11-22,882.61,890.44,874.09,880.5,3084555,880.5
2012-11-23,879.98,888.17,874.81,880.5,609562,880.5
2012-11-24,863.66,873.13,856.97,871.65,770907,871.65
2012-11-25,868.81,885.22,855.71,873.26,1775673,873.26
2012-11-26,873.96,875.2,864.17,872.85,4870898,872.85
2012-11-27,883.8,898.33,871.43,896.99,586132,896.99
2012-11-28,910.97,917.1,882.18,893.64,1233638,893.64
2012-11-29,887.18,895.39,880.09,893.01,3614718,893.01
2012-11-30,900.89,903.77,887.2,887.97,2606330,887.97
2012-12-01,904.99,924.43,867.63,886.04,1941259,886.04
2012-12-02,866.6,896.06,863.57,881.35,1775460,881.35
2012-12-03,874.7,900.78,862.43,887.79,2830011,887.79
2012-12-04,890.12,920.93,886.54,907.14,4470521,907.14
2012-12-05,913.35,916.36,891.77,898.62,1452477,898.62
2012-12-06,918.84,933.72,899.11,907.37,612013,907.37
2012-12-07,903.78,910.45,880.11,895.56,3143611,895.56
2012-12-08,897.86,911.84,879.44,884.28,3980358,884.28
2012-12-09,882.11,884.79,865.57,874.34,775224,874.34
2012-12-10,871.17,874.7,858.47,865.55,4680933,865.55
2012-12-11,832.92,845.5,828.1,837.77,4497938,837.77
2012-12-12,864.5,877.73,833.78,845.76,4109495,845.76
2012-12-13,828.04,840.45,821.66,834.66,1938358,834.66
2012-12-14,843.13,857.43,838.23,847.77,2144096,847.77
2012-12-15,828.34,847.61,819.75,846.43,3477375,846.43
2012-12-16,838.83,845.04,836.78,845.0,2324973,845.0
2012-12-17,840.54,845.61,834.64,837.23,1821405,837.23
2012-12-18,831.48,844.13,819.08,830.86,4291100,830.86
2012-12-19,796.92,811.67,794.52,801.92,4166086,801.92
2012-12-20,811.96,813.85,801.98,811.44,2842537,811.44
2012-12-21,811.97,822.74,798.19,802.2,3251670,802.2
2012-12-22,830.23,837.1,807.49,814.91,4791623,814.91
2012-12-23,813.38,815.99,807.46,807.49,4609026,807.49
2012-12-24,810.74,824.59,791.17,801.12,4609158,801.12
2012-12-25,775.51,796.96,758.09,785.7,1084013,785.7
2012-12-26,791.14,796.34,786.81,792.27,4412989,792.27
2012-12-27,831.35,840.18,817.58,821.38,1856043,821.38
2012-12-28,844.14,844.71,834.95,843.88,579625,843.88
2012-12-29,863.44,879.44,862.09,874.14,1716449,874.14
2012-12-30,876.65,883.27,872.85,881.97,3097718,881.97
2012-12-31,866.41,880.02,864.35,873.43,2732731,873.43
2013-01-01,896.07,908.03,892.75,901.21,2685560,901.21
2013-01-02,897.61,912.2,877.25,905.25,4433256,905.25
2013-01-03,939.99,953.85,923.16,929.71,3386269,929.71
2013-01-04,917.65,929.84,915.29,924.15,4699506,924.15
2013-01-05,923.26,931.62,921.0,923.45,1214618,923.45
2013-01-06,951.37,957.36,931.48,952.55,908209,952.55
2013-01-07,955.45,970.58,934.91,939.47,2477465,939.47
2013-01-08,978.57,989.95,965.19,966.69,3218686,966.69
2013-01-09,966.39,977.68,948.22,957.19,1143540,957.19
2013-01-10,936.14,943.56,933.41,938.35,4269142,938.35
2013-01-11,939.83,950.31,915.1,930.06,1591430,930.06
2013-01-12,923.59,924.87,901.41,913.66,2082556,913.66
2013-01-13,933.22,943.51,924.76,934.68,1073147,934.68
2013-01-14,911.43,922.73,903.73,917.96,2707220,917.96
