Date,Open,High,Low,Close,Volume,Adj Close
2012-11-21,1801.14,1805.98,1770.37,1800.0,4518566,1800.0
2012-11-22,1858.99,1866.76,1837.34,1839.93,3135636,1839.93
2012-11-23,1875.45,1901.37,1845.78,1862.39,4912228,1862.39
2012-11-24,1874.46,1885.45,1837.56,1837.74,2534976,1837.74
2012-11-25,1827.88,1828.89,1818.97,1820.82,948426,1820.82
2012-11-26,1803.51,1841.37,1780.22,1826.95,1580007,1826.95
2012-11-27,1825.33,1841.5,1817.93,1824.77,3320675,1824.77
2012-11-28,1792.12,1843.35,1774.81,1808.04,1617418,1808.04
2012-11-29,1822.3,1858.96,1811.42,1812.51,4795637,1812.51
2012-11-30,1768.42,1781.69,1736.05,1779.42,3641781,1779.42
2012-12-01,1778.5,1786.15,1762.98,1764.48,4536149,1764.48
2012-12-02,1823.1,1838.61,1787.47,1805.68,3967689,1805.68
2012-12-03,1763.12,1804.44,1749.72,1797.16,3135648,1797.16
2012-12-04,1797.77,1803.08,1768.28,1794.51,3297314,1794.51
2012-12-05,1833.62,1850.94,1783.36,1812.88,2302838,1812.88
2012-12-06,1725.81,1756.72,1714.83,1747.78,2893734,1747.78
2012-12-07,1806.3,1808.29,1800.72,1803.53,2560917,1803.53
2012-12-08,1805.95,1819.98,1797.61,1818.21,2184078,1818.21
2012-12-09,1885.28,1906.02,1883.94,1885.1,2568505,1885.1
2012-12-10,1919.04,1938.84,1887.77,1930.44,723992,1930.44
2012-12-11,1935.92,1980.79,1906.27,1946.29,4907967,1946.29
2012-12-12,1972.99,1976.76,1919.73,1959.12,3362644,1959.12
2012-12-13,1957.55,1989.1,1916.02,1938.09,1536413,1938.09
2012-12-14,1945.42,1985.35,1928.8,1967.21,2217871,1967.21
2012-12-15,1941.73,1943.32,1921.66,1930.64,4252466,1930.64
2012-12-16,1959.56,1970.16,1930.91,1939.56,1555527,1939.56
2012-12-17,1951.7,1986.62,1896.51,1921.54,3943923,1921.54
2012-12-18,1940.74,1972.97,1907.35,1925.6,3868696,1925.6
2012-12-19,1907.7,1916.17,1903.88,1906.09,4250004,1906.09
2012-12-20,1956.62,1968.13,1914.66,1936.79,2351948,1936.79
