Date,Open,High,Low,Close,Volume,Adj Close
2012-11-21,299.24,302.59,297.57,300.0,2008822,300.0
2012-11-22,300.99,305.35,297.16,303.54,4843810,303.54
2012-11-23,303.25,309.0,299.04,308.65,1656600,308.65
2012-11-24,310.75,312.13,308.65,311.61,3776570,311.61
2012-11-25,310.75,318.72,304.87,315.42,4996179,315.42
2012-11-26,313.48,316.88,309.35,313.76,564243,313.76
2012-11-27,307.1,311.19,305.88,309.13,3597240,309.13
2012-11-28,309.95,313.46,306.76,312.65,4275705,312.65
2012-11-29,300.0,302.78,297.25,301.45,2455657,301.45
2012-11-30,304.97,306.41,303.47,305.62,3889524,305.62
2012-12-01,314.74,317.13,304.88,308.68,2811171,308.68
2012-12-02,310.04,310.47,300.42,305.56,2019662,305.56
2012-12-03,305.9,307.37,304.64,306.75,2095376,306.75
2012-12-04,305.64,306.03,300.57,302.72,2891908,302.72
2012-12-05,299.82,304.38,294.48,297.78,747123,297.78
2012-12-06,305.8,308.49,301.15,303.05,3808636,303.05
2012-12-07,304.59,307.71,302.17,304.24,3542443,304.24
2012-12-08,319.62,325.06,313.78,315.23,534169,315.23
2012-12-09,335.87,341.86,328.06,330.18,884436,330.18
2012-12-10,332.54,337.92,330.37,334.4,754744,334.4
2012-12-11,333.33,340.75,331.17,336.39,4025067,336.39
2012-12-12,344.28,348.92,343.89,346.82,2926022,346.82
2012-12-13,333.76,343.95,330.82,336.34,2145693,336.34
2012-12-14,327.36,333.27,324.73,329.49,3901670,329.49
2012-12-15,333.63,338.11,323.82,328.86,2243975,328.86
2012-12-16,332.82,334.67,329.88,331.33,2567739,331.33
2012-12-17,333.55,335.49,329.44,332.49,4240732,332.49
2012-12-18,334.28,335.62,332.42,333.76,1955155,333.76
2012-12-19,339.1,340.21,338.32,338.78,1797415,338.78
2012-12-20,342.39,344.04,334.74,339.4,1970097,339.4
2012-12-21,340.55,345.61,336.92,343.47,3787225,343.47
2012-12-22,340.95,350.28,335.25,345.68,1596593,345.68
2012-12-23,338.59,343.51,333.39,342.76,4568963,342.76
2012-12-24,344.22,350.24,334.09,338.28,768175,338.28
2012-12-25,335.95,338.71,331.5,332.7,1995979,332.7
2012-12-26,336.83,340.42,334.6,335.77,943659,335.77
2012-12-27,338.66,339.19,331.61,335.23,638325,335.23
2012-12-28,343.66,350.0,343.36,346.88,1501580,346.88
2012-12-29,353.26,356.87,348.01,348.54,2046377,348.54
2012-12-30,363.0,363.94,357.0,361.24,3353663,361.24
2012-12-31,357.13,362.31,351.12,354.96,1321310,354.96
2013-01-01,358.93,361.68,355.9,356.39,3445484,356.39
2013-01-02,346.09,352.47,344.3,349.28,4545017,349.28
2013-01-03,353.41,356.45,345.85,349.46,1209908,349.46
2013-01-04,355.55,360.77,349.97,356.09,4327167,356.09
2013-01-05,351.22,356.29,350.01,355.26,4219673,355.26
2013-01-06,363.34,366.13,347.34,355.24,991787,355.24
2013-01-07,361.26,367.99,353.33,359.57,2436612,359.57
2013-01-08,380.13,382.83,369.76,373.7,1735481,373.7
2013-01-09,371.62,372.96,368.41,369.78,4761261,369.78
2013-01-10,363.43,366.04,360.7,364.94,3766190,364.94
2013-01-11,367.68,371.81,358.15,362.84,1636516,362.84
2013-01-12,368.39,374.93,360.97,363.98,3511063,363.98
2013-01-13,360.04,362.21,358.12,361.02,1809601,361.02
2013-01-14,360.95,366.96,358.41,364.84,3340985,364.84
2013-01-15,378.3,380.13,371.43,371.75,4380708,371.75
2013-01-16,363.73,368.95,362.91,365.74,2982086,365.74
2013-01-17,377.5,381.53,377.31,378.19,3585335,378.19
2013-01-18,370.83,373.34,368.24,370.66,3303313,370.66
2013-01-19,373.39,379.07,368.04,374.91,1728228,374.91
2013-01-20,383.03,383.6,374.02,377.71,4017314,377.71
2013-01-21,387.81,395.41,385.99,392.06,4066788,392.06
2013-01-22,393.4,399.34,382.65,389.6,4898587,389.6
2013-01-23,395.57,400.69,387.34,391.41,2593735,391.41
2013-01-24,400.03,403.09,392.74,396.41,4896127,396.41
2013-01-25,402.47,409.92,399.86,403.99,1680951,403.99
2013-01-26,406.98,407.39,402.6,403.97,4362777,403.97
2013-01-27,413.09,422.79,409.22,418.28,2718533,418.28
2013-01-28,408.74,417.26,407.66,410.92,3349077,410.92
2013-01-29,410.52,412.97,404.17,405.64,3707726,405.64
2013-01-30,407.89,414.08,406.61,407.21,4620896,407.21
2013-01-31,397.44,406.29,396.67,402.04,2539556,402.04
2013-02-01,398.16,401.09,388.09,392.23,2233594,392.23
2013-02-02,405.08,407.01,400.68,402.89,1492712,402.89
2013-02-03,412.49,412.95,408.26,410.07,2077121,410.07
2013-02-04,399.47,400.81,389.56,394.47,1527862,394.47
2013-02-05,398.59,405.35,397.26,401.71,1933886,401.71
2013-02-06,411.85,415.04,409.28,410.53,1335211,410.53
2013-02-07,404.18,407.91,395.02,403.0,1583180,403.0
2013-02-08,409.96,417.74,408.51,412.58,633504,412.58
2013-02-09,403.67,405.02,398.87,401.89,860519,401.89
2013-02-10,397.42,399.9,396.03,398.52,1105654,398.52
2013-02-11,394.34,401.36,388.31,397.55,3076205,397.55
2013-02-12,400.37,403.65,398.78,401.23,3386024,401.23
2013-02-13,409.52,413.2,399.39,404.26,4035027,404.26
2013-02-14,398.79,408.77,397.1,406.08,4817284,406.08
2013-02-15,396.19,404.35,395.49,400.03,791762,400.03
2013-02-16,412.74,412.98,409.79,411.33,4028837,411.33
2013-02-17,415.21,421.91,412.88,416.47,896348,416.47
2013-02-18,407.92,414.17,404.25,412.64,2950812,412.64
2013-02-19,403.77,412.13,399.2,408.63,2971872,408.63
2013-02-20,425.84,434.06,414.38,419.18,4557708,419.18
2013-02-21,422.31,430.88,421.64,424.23,1217346,424.23
2013-02-22,413.35,421.93,412.92,417.54,2650549,417.54
2013-02-23,412.75,416.04,406.26,414.8,3807751,414.8
2013-02-24,423.77,425.52,419.71,422.69,4259968,422.69
2013-02-25,409.87,410.6,405.2,407.89,4058035,407.89
2013-02-26,400.5,403.86,400.24,401.73,2605789,401.73
2013-02-27,406.71,410.89,403.97,407.14,2350155,407.14
2013-02-28,400.43,401.25,395.96,398.38,2462847,398.38
2013-03-01,413.38,416.71,403.51,410.11,1075312,410.11
2013-03-02,397.95,404.98,392.01,402.07,3452159,402.07
2013-03-03,385.0,393.67,377.56,392.25,1015448,392.25
2013-03-04,384.56,390.97,375.38,383.06,3533283,383.06
2013-03-05,388.71,390.07,382.62,383.53,4586649,383.53
2013-03-06,379.28,383.48,377.25,380.89,596919,380.89
2013-03-07,379.38,380.11,373.42,375.79,1360674,375.79
2013-03-08,375.54,381.81,372.5,376.73,2244604,376.73
2013-03-09,363.65,374.87,360.16,371.46,1975026,371.46
2013-03-10,375.92,376.09,371.41,373.34,1946115,373.34
2013-03-11,380.25,387.51,370.15,377.89,862242,377.89
2013-03-12,380.76,386.36,375.86,380.52,4350284,380.52
2013-03-13,375.53,381.49,370.85,373.31,3342478,373.31
2013-03-14,382.39,384.08,378.52,379.56,3499823,379.56
2013-03-15,382.72,384.64,379.9,380.85,3376715,380.85
2013-03-16,389.0,390.83,385.54,386.76,1259733,386.76
2013-03-17,396.59,397.77,387.5,393.74,1672089,393.74
2013-03-18,390.07,391.33,386.95,391.19,2617148,391.19
2013-03-19,400.1,403.62,396.08,396.9,1479855,396.9
2013-03-20,386.86,399.98,379.16,392.03,2761592,392.03
2013-03-21,396.2,399.9,395.72,396.37,1838695,396.37
2013-03-22,387.35,387.66,382.07,385.0,1999551,385.0
2013-03-23,391.17,397.01,388.26,389.89,1622692,389.89
2013-03-24,391.7,396.22,385.35,390.26,598636,390.26
2013-03-25,374.65,381.24,372.48,378.67,2284675,378.67
2013-03-26,379.61,384.77,376.16,381.14,2070058,381.14
2013-03-27,381.65,387.45,377.19,377.67,1698221,377.67
2013-03-28,394.32,396.13,383.31,392.26,1096815,392.26
2013-03-29,394.95,399.7,393.62,393.85,3291262,393.85
2013-03-30,414.44,418.52,408.63,410.37,2003021,410.37
2013-03-31,413.84,418.12,411.57,415.96,1049702,415.96
2013-04-01,410.72,414.42,407.12,409.71,2995120,409.71
2013-04-02,411.51,413.35,411.41,412.17,1926104,412.17
2013-04-03,419.11,424.63,405.61,414.18,2108504,414.18
2013-04-04,410.7,421.51,400.95,420.83,3927469,420.83
2013-04-05,406.83,411.69,403.46,409.21,857782,409.21
2013-04-06,411.52,418.23,400.54,407.56,3367767,407.56
2013-04-07,405.58,405.9,400.88,403.53,3121135,403.53
2013-04-08,410.43,415.4,402.78,405.45,2471226,405.45
2013-04-09,406.45,407.19,405.11,407.12,594473,407.12
2013-04-10,412.66,414.38,404.87,409.72,3965402,409.72
2013-04-11,416.34,418.45,411.64,414.9,4017266,414.9
2013-04-12,408.13,419.56,403.97,413.81,2417037,413.81
2013-04-13,424.18,426.44,418.73,419.83,1590447,419.83
2013-04-14,416.67,419.23,410.75,417.14,4786433,417.14
2013-04-15,415.71,418.26,410.59,414.28,688043,414.28
2013-04-16,425.7,434.75,411.87,417.05,1026010,417.05
2013-04-17,418.88,418.97,415.11,418.73,2732949,418.73
2013-04-18,408.95,415.68,407.91,411.53,4398130,411.53
2013-04-19,425.4,431.96,419.21,428.27,3251246,428.27
2013-04-20,419.3,426.42,418.3,420.99,2865996,420.99
2013-04-21,406.78,412.76,401.07,409.67,531631,409.67
2013-04-22,419.66,426.56,416.1,418.23,3363998,418.23
2013-04-23,422.9,426.39,415.96,422.42,2583840,422.42
2013-04-24,428.53,430.49,419.93,425.62,629981,425.62
2013-04-25,426.98,428.95,418.35,421.0,4012490,421.0
2013-04-26,410.94,418.11,408.56,410.62,1934247,410.62
2013-04-27,404.27,410.51,404.1,409.2,2473389,409.2
2013-04-28,417.98,427.11,402.35,409.07,2333059,409.07
2013-04-29,404.97,411.81,402.27,409.36,731734,409.36
2013-04-30,410.58,415.89,409.3,410.26,2599119,410.26
2013-05-01,415.48,421.32,411.93,419.63,3467007,419.63
2013-05-02,411.2,411.73,410.08,411.55,3447782,411.55
2013-05-03,400.49,404.91,394.78,397.62,3186702,397.62
2013-05-04,395.46,403.96,389.59,395.1,4719515,395.1
2013-05-05,376.09,385.46,371.35,383.44,2187588,383.44
2013-05-06,366.62,367.92,360.27,364.75,1556776,364.75
2013-05-07,368.28,376.14,364.39,374.92,2123200,374.92
2013-05-08,381.44,383.69,374.93,376.31,3743892,376.31
2013-05-09,376.61,381.89,367.73,372.26,1536247,372.26
2013-05-10,363.68,374.64,363.67,369.82,872989,369.82
2013-05-11,385.04,386.36,380.76,381.61,4063406,381.61
2013-05-12,394.27,397.21,384.88,389.56,1137935,389.56
2013-05-13,387.26,402.71,385.24,396.06,2122801,396.06
2013-05-14,396.97,401.58,393.83,398.61,809647,398.61
2013-05-15,393.07,394.52,390.44,391.18,3358801,391.18
2013-05-16,385.58,391.44,382.52,390.5,4625051,390.5
2013-05-17,381.75,392.56,377.94,384.05,4346131,384.05
2013-05-18,391.29,406.73,390.16,398.27,4813176,398.27
2013-05-19,389.13,395.17,386.78,390.97,4929906,390.97
2013-05-20,375.61,382.94,375.18,381.97,532216,381.97
2013-05-21,371.3,375.43,368.49,370.93,1975079,370.93
2013-05-22,379.96,380.26,375.12,376.47,4270990,376.47
2013-05-23,360.35,371.8,354.5,365.36,1319722,365.36
2013-05-24,363.53,373.25,362.42,369.55,3059458,369.55
2013-05-25,368.71,372.61,367.11,371.64,2645175,371.64
2013-05-26,372.75,373.81,367.77,370.45,790064,370.45
2013-05-27,382.89,390.32,378.2,387.26,1203222,387.26
2013-05-28,381.16,390.68,374.59,383.64,4402027,383.64
2013-05-29,384.07,388.99,381.6,387.26,2352585,387.26
2013-05-30,372.4,384.54,366.96,378.84,4872066,378.84
2013-05-31,371.06,375.28,369.98,373.59,1354631,373.59
2013-06-01,382.98,387.39,376.95,378.85,1584490,378.85
2013-06-02,374.04,378.74,372.62,373.77,4501543,373.77
2013-06-03,366.14,377.32,364.35,373.73,598517,373.73
2013-06-04,379.24,383.51,376.24,378.54,2953358,378.54
2013-06-05,379.6,382.76,376.21,379.29,2983410,379.29
2013-06-06,374.54,377.63,371.67,376.64,4282551,376.64
2013-06-07,376.21,377.2,371.17,377.2,2324516,377.2
2013-06-08,364.74,365.94,362.1,363.02,1673410,363.02
2013-06-09,365.4,368.08,355.49,361.38,3244970,361.38
2013-06-10,370.54,376.14,366.4,368.47,1657691,368.47
2013-06-11,376.37,386.06,375.86,380.28,1498291,380.28
2013-06-12,382.77,388.51,381.69,385.23,4021686,385.23
2013-06-13,389.5,392.42,383.55,386.49,3871419,386.49
2013-06-14,384.22,388.64,379.73,387.84,3889232,387.84
2013-06-15,386.97,389.0,378.76,382.69,1464516,382.69
2013-06-16,381.5,397.32,380.53,389.51,3062878,389.51
2013-06-17,393.36,400.59,390.27,396.04,2320967,396.04
2013-06-18,399.93,400.12,387.81,392.4,4289576,392.4
2013-06-19,383.45,383.76,379.37,381.65,1063639,381.65
2013-06-20,384.91,386.01,379.52,384.83,3004331,384.83
2013-06-21,388.59,393.94,380.45,393.75,1721359,393.75
2013-06-22,387.26,393.14,383.48,390.77,2010022,390.77
2013-06-23,387.69,394.96,384.92,392.84,2928573,392.84
2013-06-24,396.07,400.2,389.16,395.95,4423304,395.95
2013-06-25,400.08,409.45,397.57,403.2,2004316,403.2
2013-06-26,405.17,410.9,404.25,407.13,1717448,407.13
2013-06-27,394.27,408.9,387.26,400.53,2031017,400.53
2013-06-28,410.83,415.22,405.09,406.84,1156551,406.84
2013-06-29,406.67,407.35,400.18,404.86,1376875,404.86
2013-06-30,403.67,408.92,400.6,405.27,1177454,405.27
2013-07-01,418.76,425.02,409.37,411.96,4610111,411.96
2013-07-02,401.76,404.01,395.96,398.53,858091,398.53
2013-07-03,409.06,412.06,403.88,404.92,1633378,404.92
2013-07-04,399.93,402.27,395.77,397.28,1207235,397.28
2013-07-05,394.73,396.65,392.23,393.32,3411240,393.32
2013-07-06,401.53,403.49,401.3,402.08,836765,402.08
2013-07-07,407.99,416.23,405.42,410.98,3286154,410.98
2013-07-08,408.07,409.83,403.97,405.12,3538435,405.12
2013-07-09,401.68,404.52,395.24,397.81,1535979,397.81
2013-07-10,387.98,392.14,385.03,387.09,2536518,387.09
2013-07-11,377.37,383.42,376.75,381.33,1719301,381.33
2013-07-12,393.84,397.69,392.3,392.52,4058440,392.52
2013-07-13,402.56,407.12,392.67,394.03,4876424,394.03
2013-07-14,384.01,388.26,381.87,387.17,748321,387.17
2013-07-15,386.51,389.74,382.94,386.45,1326806,386.45
2013-07-16,374.57,379.68,372.83,377.35,1657214,377.35
2013-07-17,379.87,381.48,373.0,376.94,4013972,376.94
2013-07-18,386.84,391.49,381.84,381.86,1763773,381.86
2013-07-19,370.36,375.76,369.27,372.37,1143840,372.37
2013-07-20,381.85,382.71,376.09,378.39,4365350,378.39
2013-07-21,387.54,393.34,383.75,389.38,1809762,389.38
2013-07-22,395.59,403.57,393.95,396.09,4713851,396.09
2013-07-23,393.1,395.75,389.07,392.36,678270,392.36
2013-07-24,399.02,401.42,398.4,399.21,983018,399.21
2013-07-25,387.01,393.67,384.72,392.4,3029267,392.4
2013-07-26,384.23,389.56,381.96,385.15,2375554,385.15
2013-07-27,396.16,403.13,391.89,400.36,3960307,400.36
2013-07-28,393.61,396.96,391.36,391.42,3617512,391.42
2013-07-29,383.83,386.49,379.38,385.96,4545341,385.96
2013-07-30,377.39,387.35,375.82,384.39,3629095,384.39
2013-07-31,386.18,389.74,384.02,385.21,2065664,385.21
2013-08-01,398.71,406.83,388.43,394.57,3620052,394.57
2013-08-02,395.88,404.9,389.98,400.41,1921772,400.41
2013-08-03,413.99,417.07,408.4,410.41,3974914,410.41
2013-08-04,412.25,420.44,408.8,416.32,4609983,416.32
