Date,Open,High,Low,Close,Volume,Adj Close
2012-11-21,200.7,204.42,199.71,200.0,4180317,200.0
2012-11-22,198.96,201.85,198.53,200.9,3621319,200.9
2012-11-23,204.21,205.5,203.02,205.09,1675682,205.09
2012-11-24,212.2,215.35,209.41,209.42,875128,209.42
2012-11-25,204.92,208.06,203.89,207.29,1375807,207.29
2012-11-26,206.73,211.18,205.81,207.84,1889770,207.84
2012-11-27,204.55,206.59,202.45,206.13,4416569,206.13
2012-11-28,200.18,202.48,197.02,199.02,3009145,199.02
2012-11-29,196.93,199.65,194.23,199.45,862724,199.45
2012-11-30,204.97,206.55,202.25,202.78,2296200,202.78
2012-12-01,203.55,211.65,203.11,207.68,3325003,207.68
2012-12-02,211.56,211.82,209.01,210.67,2673551,210.67
2012-12-03,208.72,209.46,206.39,208.73,1353415,208.73
2012-12-04,210.25,214.46,207.17,207.76,2100312,207.76
2012-12-05,201.66,208.06,197.36,204.54,4712750,204.54
2012-12-06,205.71,208.61,201.75,206.13,2355014,206.13
2012-12-07,201.41,203.51,199.56,201.99,3477377,201.99
2012-12-08,207.26,210.36,203.14,204.07,1363219,204.07
2012-12-09,205.73,212.66,202.31,209.51,2320274,209.51
2012-12-10,214.2,216.12,213.37,214.24,888771,214.24
2012-12-11,212.52,215.58,212.38,215.2,616191,215.2
2012-12-12,222.68,223.46,220.88,222.3,1899366,222.3
2012-12-13,220.43,225.57,220.41,223.87,3738877,223.87
2012-12-14,226.74,227.56,219.99,223.21,3678096,223.21
2012-12-15,225.23,225.54,221.02,224.84,2216677,224.84
2012-12-16,222.34,226.95,222.13,224.27,3196553,224.27
2012-12-17,221.35,226.9,217.58,223.97,3306869,223.97
2012-12-18,224.77,230.88,221.78,228.14,3585375,228.14
2012-12-19,232.9,234.24,229.74,231.26,2786457,231.26
2012-12-20,230.38,232.44,228.23,230.98,4129500,230.98
2012-12-21,235.53,238.8,233.04,236.46,2421834,236.46
2012-12-22,245.37,248.69,239.31,243.38,1404726,243.38
2012-12-23,239.81,240.23,235.79,237.35,4297606,237.35
2012-12-24,240.45,245.49,232.54,237.68,2077289,237.68
2012-12-25,231.84,234.25,231.48,233.84,2871548,233.84
2012-12-26,233.74,234.46,230.11,233.92,4179212,233.92
2012-12-27,233.01,242.09,228.37,236.47,774958,236.47
2012-12-28,237.6,240.35,236.27,239.19,612839,239.19
2012-12-29,232.42,238.24,230.99,236.6,3783093,236.6
2012-12-30,234.4,239.03,231.01,234.73,4079612,234.73
2012-12-31,237.68,241.83,231.82,233.58,4199969,233.58
2013-01-01,241.53,243.98,234.99,239.38,3031065,239.38
2013-01-02,242.91,245.72,240.12,245.42,2349064,245.42
2013-01-03,242.14,243.88,238.86,241.68,1042942,241.68
2013-01-04,245.54,250.04,244.27,247.64,2926298,247.64
2013-01-05,254.76,254.87,251.26,253.22,3152991,253.22
2013-01-06,261.58,265.0,260.04,261.03,3263238,261.03
2013-01-07,261.3,264.94,260.23,263.25,4205453,263.25
2013-01-08,274.04,278.71,263.94,268.99,1415015,268.99
2013-01-09,278.17,284.0,273.3,275.38,3532796,275.38
2013-01-10,270.9,274.6,267.76,274.15,2513551,274.15
2013-01-11,270.14,272.93,266.49,272.82,3473728,272.82
2013-01-12,276.53,281.66,271.75,272.02,3129772,272.02
2013-01-13,267.32,269.86,265.43,267.04,4543289,267.04
2013-01-14,263.25,266.51,260.26,264.26,1144041,264.26
2013-01-15,271.77,273.79,266.81,270.06,1720478,270.06
2013-01-16,270.82,277.31,267.03,275.9,2028989,275.9
2013-01-17,269.59,271.95,264.78,268.04,2111215,268.04
2013-01-18,264.29,265.4,262.85,264.99,4515594,264.99
2013-01-19,266.55,269.29,261.58,264.3,627340,264.3
2013-01-20,270.23,270.61,261.28,266.32,685835,266.32
2013-01-21,272.07,272.7,270.55,270.56,2760988,270.56
2013-01-22,270.95,274.57,270.29,272.17,3235466,272.17
2013-01-23,265.86,269.51,265.61,268.08,4842767,268.08
2013-01-24,267.68,270.94,266.8,268.0,4976136,268.0
2013-01-25,274.62,277.25,273.53,275.09,2756702,275.09
2013-01-26,277.95,279.57,273.04,276.01,4647116,276.01
2013-01-27,269.29,274.4,266.32,269.95,3492639,269.95
2013-01-28,276.09,277.38,273.84,274.14,3976158,274.14
2013-01-29,281.75,283.29,274.25,276.64,777344,276.64
2013-01-30,281.36,287.81,276.2,284.21,1060875,284.21
2013-01-31,281.95,289.2,278.02,285.91,4478417,285.91
2013-02-01,285.39,289.8,284.06,289.36,4041644,289.36
2013-02-02,294.14,294.63,282.57,289.23,2771567,289.23
2013-02-03,283.78,288.75,280.33,285.14,2809377,285.14
2013-02-04,285.63,287.41,282.5,283.15,4863505,283.15
2013-02-05,283.72,290.24,277.19,283.77,1059537,283.77
