Date,Open,High,Low,Close,Volume,Adj Close
2012-11-21,180.65,181.26,179.61,180.0,4567453,180.0
2012-11-22,188.98,190.94,186.42,188.0,4276234,188.0
2012-11-23,184.69,186.97,183.16,184.91,4612280,184.91
2012-11-24,187.94,189.62,186.5,187.04,1209051,187.04
2012-11-25,191.2,191.51,187.94,189.61,1165433,189.61
2012-11-26,192.17,196.12,191.65,193.03,2151784,193.03
2012-11-27,195.49,198.5,192.82,194.03,2596884,194.03
2012-11-28,194.6,195.29,192.95,193.86,3680392,193.86
2012-11-29,194.22,195.64,192.09,193.34,2511885,193.34
2012-11-30,190.6,191.9,189.71,190.52,2478402,190.52
2012-12-01,188.96,190.23,186.26,190.08,821714,190.08
2012-12-02,187.14,189.16,186.7,189.0,2500960,189.0
2012-12-03,190.1,192.84,189.82,191.88,900559,191.88
2012-12-04,189.8,193.11,188.17,191.66,3386729,191.66
2012-12-05,197.39,197.68,193.14,193.51,2949705,193.51
2012-12-06,186.93,188.89,183.34,187.5,3778395,187.5
2012-12-07,183.62,188.41,180.73,186.36,3616111,186.36
2012-12-08,188.04,189.0,185.02,186.35,805748,186.35
2012-12-09,188.49,189.82,184.98,186.02,3882802,186.02
2012-12-10,189.48,189.62,186.71,187.11,2044349,187.11
2012-12-11,194.54,195.0,191.74,193.34,1082972,193.34
2012-12-12,197.32,199.21,196.56,198.37,1197122,198.37
2012-12-13,196.71,198.95,196.66,196.84,4945946,196.84
2012-12-14,200.12,201.73,196.69,199.98,1435224,199.98
2012-12-15,201.89,204.99,200.28,201.11,2533612,201.11
2012-12-16,202.69,203.61,202.12,203.06,4206808,203.06
2012-12-17,207.92,209.29,205.54,208.93,1169037,208.93
2012-12-18,208.82,212.27,207.36,209.64,3686153,209.64
2012-12-19,210.36,213.68,209.26,212.45,4660816,212.45
2012-12-20,209.18,212.5,206.81,209.48,3548591,209.48
2012-12-21,206.73,209.5,203.36,207.33,4158730,207.33
2012-12-22,215.11,215.85,210.47,212.37,3290648,212.37
2012-12-23,221.12,222.85,213.78,216.82,2063381,216.82
2012-12-24,211.96,217.05,211.53,215.03,2177997,215.03
2012-12-25,216.17,219.52,215.44,216.48,2480110,216.48
2012-12-26,213.91,215.69,210.98,212.81,3746633,212.81
2012-12-27,211.62,212.54,211.15,212.1,4103140,212.1
2012-12-28,212.42,214.61,210.85,213.82,4837803,213.82
2012-12-29,216.73,217.57,213.29,214.33,1791182,214.33
2012-12-30,214.68,215.19,214.42,214.63,1463569,214.63
2012-12-31,216.67,219.88,207.61,212.15,4619931,212.15
2013-01-01,210.6,213.9,208.72,213.29,2369043,213.29
2013-01-02,209.77,216.12,207.57,213.42,3424317,213.42
2013-01-03,214.47,215.08,212.29,214.78,2632567,214.78
2013-01-04,216.63,218.97,214.21,215.03,776157,215.03
2013-01-05,212.82,214.34,208.94,210.52,2485030,210.52
2013-01-06,211.02,212.74,208.75,210.03,2393656,210.03
2013-01-07,212.72,213.95,208.99,210.18,2523744,210.18
2013-01-08,207.39,209.9,207.26,208.5,1034505,208.5
2013-01-09,205.95,208.79,203.28,207.82,3364340,207.82
2013-01-10,211.4,213.68,209.02,213.32,3387138,213.32
2013-01-11,208.5,208.85,203.83,207.01,1167673,207.01
2013-01-12,209.8,212.96,205.51,209.14,1452286,209.14
2013-01-13,211.94,216.55,210.62,214.0,3387611,214.0
2013-01-14,213.85,220.94,213.32,217.81,4271965,217.81
2013-01-15,216.57,219.36,216.0,216.82,2251937,216.82
2013-01-16,214.76,220.17,212.36,216.03,2877390,216.03
2013-01-17,218.91,221.95,216.36,217.9,856807,217.9
2013-01-18,218.94,219.17,216.16,216.62,992087,216.62
2013-01-19,218.79,219.52,218.05,218.05,4698053,218.05
2013-01-20,220.39,221.22,218.26,220.66,893052,220.66
2013-01-21,227.09,228.74,221.39,223.75,608724,223.75
2013-01-22,230.2,231.1,229.27,229.3,1655694,229.3
2013-01-23,230.08,230.91,228.02,228.22,4340788,228.22
2013-01-24,226.7,229.16,225.76,228.7,676305,228.7
2013-01-25,229.5,231.41,227.21,228.46,3351676,228.46
2013-01-26,223.86,226.37,222.47,224.47,1414925,224.47
2013-01-27,221.91,225.03,219.14,224.99,4240482,224.99
2013-01-28,222.5,227.12,220.23,226.31,2632931,226.31
2013-01-29,228.82,230.61,227.54,227.56,2824476,227.56
2013-01-30,218.53,225.96,216.41,222.35,4785885,222.35
2013-01-31,224.58,227.5,221.11,222.03,2161152,222.03
2013-02-01,223.06,223.89,217.44,219.46,2024451,219.46
2013-02-02,218.43,219.34,216.13,217.71,2964333,217.71
2013-02-03,221.0,223.04,219.53,221.97,1018030,221.97
2013-02-04,219.66,225.3,217.99,222.9,609211,222.9
2013-02-05,222.11,226.23,218.37,224.69,3805480,224.69
2013-02-06,231.76,232.27,228.13,231.27,4141448,231.27
2013-02-07,234.27,234.73,232.25,232.28,1231180,232.28
2013-02-08,238.61,242.36,238.28,240.12,3188333,240.12
2013-02-09,236.98,240.24,229.96,232.5,1629308,232.5
2013-02-10,231.72,232.16,230.82,231.33,2180319,231.33
2013-02-11,228.33,231.24,225.51,226.56,1561992,226.56
2013-02-12,228.18,230.53,225.59,229.95,3461501,229.95
2013-02-13,231.65,238.21,229.73,233.98,4308066,233.98
2013-02-14,233.71,237.26,231.09,232.5,1904997,232.5
2013-02-15,238.77,239.49,237.65,238.75,3213902,238.75
2013-02-16,237.82,240.06,230.38,233.25,2114415,233.25
2013-02-17,234.18,235.86,229.89,231.83,4319527,231.83
2013-02-18,226.56,233.16,224.57,230.72,1955195,230.72
2013-02-19,225.26,228.16,221.53,225.66,3065086,225.66
2013-02-20,223.6,224.56,220.55,222.82,2080469,222.82
2013-02-21,216.98,217.72,215.08,216.1,3002291,216.1
2013-02-22,221.52,224.68,214.68,217.45,2494784,217.45
2013-02-23,219.59,221.5,217.45,218.58,4342637,218.58
2013-02-24,216.22,222.76,213.82,217.42,2850764,217.42
2013-02-25,218.02,220.45,217.52,218.66,2120768,218.66
