Date,Open,High,Low,Close,Volume,Adj Close
2012-11-21,2767.09,2808.93,2732.07,2800.0,699444,2800.0
2012-11-22,2753.77,2784.31,2732.93,2751.47,1163126,2751.47
2012-11-23,2798.42,2833.82,2767.33,2775.2,557223,2775.2
2012-11-24,2811.47,2830.75,2787.15,2809.82,4613586,2809.82
2012-11-25,2768.88,2791.61,2712.91,2751.86,3599380,2751.86
2012-11-26,2751.85,2775.03,2707.02,2723.42,1990794,2723.42
2012-11-27,2789.85,2829.23,2691.91,2737.27,2399621,2737.27
2012-11-28,2720.56,2789.34,2684.68,2747.45,2783424,2747.45
2012-11-29,2810.19,2831.83,2798.32,2827.04,1177674,2827.04
2012-11-30,2858.92,2890.26,2806.21,2831.61,2518837,2831.61
2012-12-01,2738.43,2784.62,2711.66,2758.08,1103352,2758.08
2012-12-02,2770.95,2791.0,2736.26,2755.62,1516102,2755.62
2012-12-03,2803.77,2837.21,2777.23,2834.14,2984189,2834.14
2012-12-04,2776.68,2787.92,2711.85,2734.98,1998906,2734.98
2012-12-05,2734.39,2791.69,2697.57,2751.29,1535796,2751.29
2012-12-06,2608.51,2658.26,2592.74,2631.47,4730630,2631.47
2012-12-07,2677.55,2706.49,2667.55,2689.12,2536850,2689.12
2012-12-08,2690.42,2710.29,2643.04,2709.81,4274992,2709.81
2012-12-09,2677.41,2713.21,2636.12,2677.48,2625091,2677.48
2012-12-10,2630.92,2667.75,2590.39,2634.41,1086160,2634.41
2012-12-11,2552.21,2564.77,2509.84,2539.11,3055700,2539.11
2012-12-12,2482.43,2502.18,2474.68,2498.34,4709263,2498.34
2012-12-13,2472.09,2500.95,2431.7,2487.74,3124012,2487.74
2012-12-14,2419.95,2474.88,2385.48,2468.53,2406450,2468.53
2012-12-15,2481.97,2518.73,2464.2,2496.38,820919,2496.38
2012-12-16,2471.34,2480.65,2448.28,2473.14,1335684,2473.14
2012-12-17,2503.0,2504.88,2440.27,2471.75,733851,2471.75
2012-12-18,2468.1,2548.28,2448.47,2507.74,1143890,2507.74
2012-12-19,2535.01,2560.83,2511.22,2513.68,3989149,2513.68
2012-12-20,2466.35,2501.62,2406.37,2498.75,1998364,2498.75
2012-12-21,2437.08,2491.48,2416.09,2474.69,3345561,2474.69
2012-12-22,2510.56,2526.12,2471.29,2511.95,4070127,2511.95
2012-12-23,2452.73,2464.72,2416.77,2452.92,3434607,2452.92
2012-12-24,2496.62,2522.98,2438.36,2458.76,709318,2458.76
2012-12-25,2429.56,2517.26,2419.65,2474.84,3070077,2474.84
2012-12-26,2384.95,2403.52,2341.3,2375.15,2136542,2375.15
2012-12-27,2409.4,2445.46,2387.22,2427.33,4538992,2427.33
2012-12-28,2437.56,2459.44,2434.48,2443.92,897669,2443.92
2012-12-29,2464.11,2479.55,2422.01,2450.13,2648350,2450.13
2012-12-30,2470.2,2470.89,2425.59,2434.29,1978446,2434.29
2012-12-31,2468.99,2535.06,2430.26,2505.35,2982545,2505.35
2013-01-01,2516.07,2539.89,2486.76,2514.91,1428982,2514.91
2013-01-02,2633.73,2645.99,2567.18,2590.92,2016079,2590.92
2013-01-03,2529.06,2554.72,2463.58,2483.52,1275084,2483.52
2013-01-04,2499.0,2538.68,2492.92,2501.47,3416444,2501.47
2013-01-05,2456.0,2458.39,2423.12,2436.23,1940987,2436.23
2013-01-06,2494.13,2533.06,2458.82,2465.46,1247172,2465.46
2013-01-07,2426.37,2445.59,2419.97,2421.32,1159122,2421.32
2013-01-08,2435.73,2450.3,2397.82,2407.96,2292902,2407.96
2013-01-09,2346.67,2390.85,2332.53,2348.24,3910296,2348.24
2013-01-10,2233.45,2290.98,2217.01,2255.43,1968842,2255.43
2013-01-11,2278.91,2306.27,2250.98,2302.55,3400354,2302.55
2013-01-12,2243.48,2250.94,2233.9,2239.63,4750044,2239.63
2013-01-13,2266.65,2288.25,2241.8,2255.2,3640814,2255.2
2013-01-14,2281.09,2298.97,2195.06,2239.51,4369532,2239.51
2013-01-15,2184.11,2243.64,2132.79,2193.7,3501877,2193.7
2013-01-16,2183.38,2206.18,2171.34,2201.91,1714267,2201.91
2013-01-17,2178.08,2193.93,2167.78,2191.07,2744036,2191.07
2013-01-18,2157.69,2161.58,2150.72,2157.34,1834768,2157.34
2013-01-19,2110.63,2174.67,2071.36,2137.64,4229168,2137.64
2013-01-20,2167.04,2183.06,2156.63,2165.19,3951085,2165.19
2013-01-21,2237.92,2252.56,2205.26,2206.38,4331428,2206.38
2013-01-22,2152.45,2188.27,2104.36,2182.36,2425356,2182.36
2013-01-23,2154.84,2192.84,2148.72,2163.8,3921275,2163.8
2013-01-24,2131.51,2181.88,2107.3,2149.91,2019275,2149.91
2013-01-25,2137.0,2145.93,2114.39,2127.47,4704002,2127.47
2013-01-26,2144.59,2154.96,2126.67,2144.54,765946,2144.54
2013-01-27,2110.27,2143.88,2092.62,2127.71,4901912,2127.71
2013-01-28,2128.39,2131.02,2076.51,2113.0,870126,2113.0
2013-01-29,2038.46,2076.17,2037.9,2054.07,1028582,2054.07
2013-01-30,2138.17,2174.49,2081.4,2102.16,2612911,2102.16
2013-01-31,2112.36,2141.74,2091.66,2111.94,4481168,2111.94
2013-02-01,2123.34,2141.11,2110.81,2128.39,4610624,2128.39
2013-02-02,2095.12,2144.84,2093.9,2114.12,2072847,2114.12
2013-02-03,2196.92,2224.28,2136.95,2165.61,4601135,2165.61
2013-02-04,2141.53,2144.26,2118.29,2132.31,4711033,2132.31
2013-02-05,2123.21,2190.61,2113.66,2147.66,902514,2147.66
2013-02-06,2179.12,2195.57,2137.13,2159.15,2439259,2159.15
2013-02-07,2190.94,2211.31,2165.6,2176.0,3227982,2176.0
2013-02-08,2155.69,2176.3,2141.59,2174.49,2581375,2174.49
2013-02-09,2086.8,2124.12,2072.3,2110.78,3155309,2110.78
2013-02-10,2046.57,2060.2,2023.45,2045.71,4991734,2045.71
2013-02-11,2074.24,2087.33,2060.28,2081.11,4685149,2081.11
2013-02-12,2102.13,2153.89,2096.66,2120.28,4086328,2120.28
2013-02-13,2148.79,2150.91,2072.59,2104.21,2845495,2104.21
2013-02-14,2107.31,2117.82,2092.93,2101.07,3255038,2101.07
2013-02-15,2055.64,2071.25,2054.76,2065.74,3912476,2065.74
2013-02-16,1974.57,2007.38,1955.27,1994.9,1231165,1994.9
2013-02-17,1985.65,2022.97,1950.47,1991.58,1575153,1991.58
2013-02-18,1977.52,2005.19,1971.89,1990.35,4936205,1990.35
2013-02-19,2002.56,2038.38,1992.42,2020.5,3207554,2020.5
2013-02-20,2004.92,2010.93,1987.01,1997.0,665399,1997.0
2013-02-21,2044.58,2045.38,2020.05,2034.62,2110068,2034.62
2013-02-22,2065.54,2071.21,2051.66,2069.07,4172826,2069.07
2013-02-23,2072.14,2094.55,2040.42,2044.35,3344035,2044.35
2013-02-24,2067.62,2092.99,2041.04,2086.85,1993692,2086.85
2013-02-25,2099.26,2129.14,2061.82,2085.53,3726165,2085.53
2013-02-26,2105.4,2108.52,2079.55,2091.88,2458218,2091.88
2013-02-27,2065.76,2094.99,2065.18,2085.38,567127,2085.38
2013-02-28,2042.59,2092.25,2021.83,2068.94,4492834,2068.94
2013-03-01,2113.05,2151.52,2080.3,2120.35,950446,2120.35
2013-03-02,2141.41,2196.08,2134.47,2159.71,3476642,2159.71
2013-03-03,2115.29,2117.31,2101.35,2114.11,4269472,2114.11
2013-03-04,2149.5,2156.75,2133.32,2151.9,1320781,2151.9
2013-03-05,2086.52,2146.56,2081.08,2111.44,4784290,2111.44
2013-03-06,2081.22,2155.03,2044.89,2130.04,4658671,2130.04
2013-03-07,2138.16,2158.63,2097.21,2116.56,3686709,2116.56
2013-03-08,2182.57,2188.63,2119.94,2155.72,3009516,2155.72
2013-03-09,2136.8,2138.24,2103.39,2121.38,718543,2121.38
2013-03-10,2045.85,2065.72,2021.2,2055.15,627930,2055.15
2013-03-11,2072.28,2084.73,2066.85,2069.49,503068,2069.49
2013-03-12,2110.82,2116.14,2069.63,2080.28,915875,2080.28
2013-03-13,2067.82,2103.47,2051.02,2051.39,3006770,2051.39
2013-03-14,2097.19,2111.45,2084.21,2093.91,3239450,2093.91
2013-03-15,2140.81,2151.0,2113.28,2124.24,4171407,2124.24
2013-03-16,2122.45,2141.85,2073.89,2093.07,2484861,2093.07
2013-03-17,2055.56,2077.07,2040.64,2071.78,2782994,2071.78
2013-03-18,2040.64,2097.36,2014.32,2066.74,3148691,2066.74
2013-03-19,2123.56,2146.49,2108.97,2113.68,2996556,2113.68
2013-03-20,2155.17,2184.42,2117.95,2171.28,1824070,2171.28
2013-03-21,2207.72,2228.79,2172.4,2186.14,502371,2186.14
2013-03-22,2198.95,2202.64,2173.93,2187.86,1442122,2187.86
2013-03-23,2127.3,2171.31,2118.64,2147.79,2738369,2147.79
2013-03-24,2175.52,2194.28,2163.78,2191.73,1713818,2191.73
2013-03-25,2123.18,2163.42,2105.37,2143.06,1642142,2143.06
2013-03-26,2196.53,2228.8,2177.3,2221.35,2049583,2221.35
2013-03-27,2203.52,2222.69,2183.26,2212.05,4265664,2212.05
2013-03-28,2235.94,2278.06,2197.84,2212.09,1984084,2212.09
2013-03-29,2222.75,2252.12,2186.2,2208.08,2711152,2208.08
2013-03-30,2336.91,2339.73,2243.83,2297.02,4017659,2297.02
2013-03-31,2298.27,2327.86,2273.6,2277.77,4331696,2277.77
2013-04-01,2327.49,2363.01,2272.99,2298.31,2242727,2298.31
2013-04-02,2320.79,2335.46,2299.98,2304.86,3103564,2304.86
2013-04-03,2297.4,2313.25,2277.98,2286.8,2182612,2286.8
2013-04-04,2326.91,2329.14,2303.88,2322.53,1279334,2322.53
2013-04-05,2284.06,2317.79,2258.11,2290.71,4627947,2290.71
2013-04-06,2297.59,2325.46,2263.31,2297.15,2040934,2297.15
2013-04-07,2276.28,2285.17,2268.35,2283.96,942209,2283.96
2013-04-08,2337.18,2352.01,2317.4,2342.99,563265,2342.99
2013-04-09,2369.26,2413.62,2356.58,2386.88,3773597,2386.88
2013-04-10,2443.41,2457.8,2424.41,2445.41,4983369,2445.41
2013-04-11,2393.17,2440.81,2379.48,2418.09,2576167,2418.09
2013-04-12,2443.93,2475.04,2431.38,2462.4,1114705,2462.4
2013-04-13,2501.96,2548.98,2470.38,2533.05,722556,2533.05
2013-04-14,2518.7,2579.13,2509.59,2566.7,4259850,2566.7
2013-04-15,2664.65,2680.7,2663.74,2669.69,2275978,2669.69
2013-04-16,2771.72,2825.38,2747.63,2791.78,1591828,2791.78
2013-04-17,2684.0,2776.65,2633.6,2741.44,1316965,2741.44
2013-04-18,2750.76,2783.76,2741.28,2752.54,2637619,2752.54
2013-04-19,2740.61,2792.09,2725.91,2746.09,1268028,2746.09
2013-04-20,2700.93,2742.49,2679.31,2718.78,532301,2718.78
2013-04-21,2666.63,2708.91,2614.24,2708.36,2084930,2708.36
2013-04-22,2708.66,2734.61,2668.83,2722.33,2478344,2722.33
2013-04-23,2672.44,2694.98,2659.93,2682.0,2483613,2682.0
2013-04-24,2738.58,2788.16,2645.96,2702.98,4861886,2702.98
2013-04-25,2629.11,2720.36,2611.45,2684.72,2277761,2684.72
2013-04-26,2679.05,2716.56,2584.57,2622.35,1479063,2622.35
2013-04-27,2713.32,2714.93,2636.23,2672.59,3270232,2672.59
2013-04-28,2683.52,2771.75,2670.13,2732.45,3427394,2732.45
2013-04-29,2734.14,2767.84,2710.95,2759.56,503615,2759.56
2013-04-30,2706.74,2765.1,2701.31,2728.62,4345358,2728.62
2013-05-01,2797.05,2826.35,2747.62,2787.61,4128216,2787.61
2013-05-02,2828.13,2867.8,2744.74,2779.1,1678400,2779.1
2013-05-03,2811.67,2837.34,2763.36,2800.85,4728968,2800.85
2013-05-04,2762.58,2801.0,2727.07,2776.28,2909275,2776.28
2013-05-05,2887.25,2907.4,2862.53,2883.02,4820464,2883.02
2013-05-06,2885.51,2984.95,2850.39,2927.68,4318753,2927.68
2013-05-07,2971.37,3019.64,2935.6,2987.61,3061922,2987.61
2013-05-08,2980.83,3036.33,2964.14,3009.72,4180577,3009.72
2013-05-09,2981.55,3032.25,2949.62,3021.39,3087609,3021.39
2013-05-10,3123.16,3139.38,3085.83,3115.2,910640,3115.2
2013-05-11,3053.29,3056.49,3033.3,3041.95,4171810,3041.95
2013-05-12,3059.28,3065.09,3019.07,3043.82,3835456,3043.82
2013-05-13,2939.82,3034.55,2930.33,2987.73,1525168,2987.73
2013-05-14,2962.73,2987.95,2907.21,2941.79,1215470,2941.79
2013-05-15,2930.16,2970.34,2910.09,2959.24,2329239,2959.24
2013-05-16,2950.36,3015.18,2895.38,2967.54,3306064,2967.54
2013-05-17,2946.68,2996.14,2920.55,2974.31,2833899,2974.31
2013-05-18,2969.11,2984.54,2931.0,2947.63,2185381,2947.63
2013-05-19,3021.2,3029.24,2988.88,3001.12,4711914,3001.12
2013-05-20,3080.98,3101.12,3051.52,3089.19,926528,3089.19
2013-05-21,3152.9,3221.67,3133.89,3196.39,2584006,3196.39
2013-05-22,3217.82,3238.76,3202.23,3217.88,3515595,3217.88
2013-05-23,3191.9,3199.47,3159.04,3180.29,3406942,3180.29
2013-05-24,3134.33,3185.19,3034.07,3084.56,1865532,3084.56
2013-05-25,2981.4,3001.33,2958.36,2980.77,2632354,2980.77
2013-05-26,2923.14,2976.71,2909.65,2953.89,4639568,2953.89
2013-05-27,2889.98,2912.71,2876.99,2889.63,2924503,2889.63
2013-05-28,3043.32,3075.59,2978.47,3001.39,3324497,3001.39
2013-05-29,2986.45,3019.45,2971.05,2992.17,1658010,2992.17
2013-05-30,2892.6,2915.11,2868.94,2880.97,4117718,2880.97
2013-05-31,2822.92,2834.26,2789.95,2799.18,4854814,2799.18
2013-06-01,2809.9,2825.35,2752.68,2782.25,4417359,2782.25
2013-06-02,2658.3,2690.23,2605.63,2688.24,1057233,2688.24
2013-06-03,2690.69,2730.07,2666.1,2711.52,2212986,2711.52
2013-06-04,2758.1,2807.58,2692.67,2722.24,3648953,2722.24
2013-06-05,2690.78,2723.11,2649.37,2659.18,1739413,2659.18
2013-06-06,2587.81,2641.1,2568.54,2625.17,1363287,2625.17
2013-06-07,2584.04,2612.99,2577.76,2580.04,4935121,2580.04
2013-06-08,2634.32,2642.5,2630.3,2640.33,4364867,2640.33
2013-06-09,2685.67,2700.98,2641.84,2698.07,4623204,2698.07
2013-06-10,2696.38,2754.72,2678.63,2721.87,3518439,2721.87
2013-06-11,2801.08,2813.97,2781.43,2792.31,3343750,2792.31
2013-06-12,2755.38,2769.71,2710.54,2711.02,1462961,2711.02
2013-06-13,2717.22,2747.9,2680.62,2736.1,4446332,2736.1
2013-06-14,2706.02,2717.34,2676.52,2703.25,4703145,2703.25
2013-06-15,2744.09,2751.54,2680.44,2716.69,2933663,2716.69
2013-06-16,2803.7,2834.07,2778.9,2830.38,2637297,2830.38
2013-06-17,2784.24,2833.2,2758.89,2807.47,1755541,2807.47
2013-06-18,2899.24,2905.14,2871.42,2877.7,1396818,2877.7
2013-06-19,2827.63,2899.02,2789.58,2861.34,985281,2861.34
2013-06-20,2851.24,2902.42,2837.07,2859.45,2843110,2859.45
2013-06-21,2781.17,2822.31,2759.7,2813.53,695929,2813.53
2013-06-22,2897.47,2906.78,2853.69,2882.91,2127293,2882.91
2013-06-23,2804.02,2837.49,2786.82,2818.22,2009548,2818.22
2013-06-24,2772.95,2809.96,2741.43,2795.95,4498379,2795.95
2013-06-25,2748.58,2785.19,2735.41,2771.62,1069102,2771.62
2013-06-26,2735.16,2746.1,2702.94,2742.71,2816379,2742.71
2013-06-27,2742.04,2749.17,2710.7,2739.74,1145975,2739.74
2013-06-28,2685.25,2721.58,2648.67,2713.03,3535590,2713.03
2013-06-29,2616.96,2661.83,2598.36,2637.33,539349,2637.33
2013-06-30,2632.33,2638.36,2616.98,2621.27,4382327,2621.27
2013-07-01,2572.85,2635.31,2549.59,2608.49,2733421,2608.49
2013-07-02,2531.33,2594.88,2514.57,2563.81,2815184,2563.81
2013-07-03,2605.14,2607.37,2545.13,2579.55,2997269,2579.55
2013-07-04,2580.25,2608.27,2519.88,2534.44,3262805,2534.44
2013-07-05,2495.34,2510.48,2470.01,2501.64,4028338,2501.64
2013-07-06,2520.01,2521.7,2504.08,2517.24,2487812,2517.24
2013-07-07,2537.51,2540.78,2488.49,2493.4,1000910,2493.4
2013-07-08,2497.67,2513.92,2461.62,2483.3,1510399,2483.3
2013-07-09,2423.22,2463.85,2418.12,2438.51,3770768,2438.51
