Date,Open,High,Low,Close,Volume,Adj Close
2012-11-20,5645.09,5690.74,5606.21,5651.87,7784877,5651.87
2012-11-21,5813.64,5849.55,5777.36,5813.27,4872343,5813.27
2012-11-22,5770.59,5833.57,5724.19,5787.17,9221296,5787.17
2012-11-23,5789.21,5839.89,5711.05,5761.73,9749667,5761.73
2012-11-24,5705.01,5741.82,5664.1,5700.92,5888082,5700.92
2012-11-25,5757.31,5798.11,5670.16,5710.96,1459539,5710.96
2012-11-26,5740.51,5787.47,5657.14,5704.11,1685728,5704.11
2012-11-27,5741.91,5785.49,5652.49,5696.07,8383695,5696.07
2012-11-28,5411.85,5444.4,5342.1,5374.65,4493196,5374.65
2012-11-29,5670.87,5724.94,5630.31,5684.37,5623266,5684.37
2012-11-30,5903.29,5928.61,5832.36,5857.68,5675233,5857.68
2012-12-01,5747.91,5782.55,5693.96,5728.6,9620338,5728.6
2012-12-02,5741.09,5824.22,5694.07,5777.2,3735730,5777.2
2012-12-03,5734.46,5753.12,5706.01,5724.67,3751602,5724.67
2012-12-04,5872.45,5923.4,5813.25,5864.21,9954524,5864.21
2012-12-05,5659.34,5755.16,5609.36,5705.19,2963945,5705.19
2012-12-06,5775.06,5819.36,5749.27,5793.56,2996554,5793.56
2012-12-07,5847.24,5899.37,5805.05,5857.19,4789504,5857.19
2012-12-08,5740.63,5795.97,5699.21,5754.54,7413366,5754.54
2012-12-09,5729.02,5770.24,5683.48,5724.7,6491948,5724.7
2012-12-10,5736.77,5762.8,5670.77,5696.81,7577286,5696.81
2012-12-11,5754.98,5819.53,5731.61,5796.16,1412997,5796.16
2012-12-12,5936.07,6005.0,5885.35,5954.28,8704729,5954.28
2012-12-13,5640.44,5680.07,5591.51,5631.14,3552599,5631.14
2012-12-14,5783.61,5804.27,5728.33,5748.98,7884620,5748.98
2012-12-15,5926.7,5966.37,5850.32,5889.99,8619885,5889.99
2012-12-16,5631.22,5725.74,5583.03,5677.55,6318518,5677.55
2012-12-17,5806.52,5857.76,5740.5,5791.74,8981022,5791.74
2012-12-18,5901.08,5932.75,5841.05,5872.72,9257960,5872.72
2012-12-19,5720.06,5756.3,5648.52,5684.77,2074724,5684.77
2012-12-20,5681.8,5757.69,5651.88,5727.77,5345614,5727.77
2012-12-21,5864.8,5914.89,5818.37,5868.46,4915417,5868.46
2012-12-22,5903.49,5959.66,5861.61,5917.79,7671965,5917.79
2012-12-23,5758.32,5806.75,5654.43,5702.86,9206788,5702.86
2012-12-24,5748.22,5808.16,5726.46,5786.41,3980589,5786.41
2012-12-25,5880.87,5921.65,5806.03,5846.81,3461172,5846.81
2012-12-26,5998.43,6039.65,5973.35,6014.56,4794904,6014.56
2012-12-27,5780.72,5798.81,5728.87,5746.96,8641802,5746.96
2012-12-28,5728.82,5769.04,5704.39,5744.61,6707452,5744.61
2012-12-29,5822.65,5872.52,5745.19,5795.06,6775367,5795.06
2012-12-30,5958.43,5998.3,5889.88,5929.75,9162003,5929.75
2012-12-31,5749.21,5835.7,5703.44,5789.93,7878459,5789.93
2013-01-01,5719.76,5785.58,5691.12,5756.94,5997553,5756.94
2013-01-02,5823.68,5885.65,5799.46,5861.43,7789628,5861.43
2013-01-03,5861.97,5904.99,5831.33,5874.34,2849617,5874.34
2013-01-04,5901.77,5954.98,5866.13,5919.35,5658789,5919.35
2013-01-05,5937.91,6010.12,5886.11,5958.32,4000900,5958.32
2013-01-06,5692.57,5734.96,5641.4,5683.79,3445719,5683.79
2013-01-07,5833.32,5872.16,5750.74,5789.58,1240307,5789.58
2013-01-08,5865.96,5906.69,5834.81,5875.53,4273024,5875.53
2013-01-09,5936.19,6007.75,5901.55,5973.1,8083497,5973.1
2013-01-10,5767.62,5808.55,5708.0,5748.93,7400300,5748.93
2013-01-11,5833.13,5856.32,5791.03,5814.22,2832909,5814.22
2013-01-12,5831.87,5854.36,5802.37,5824.86,9464327,5824.86
2013-01-13,5891.41,5942.51,5786.0,5837.1,4055142,5837.1
2013-01-14,6045.89,6081.64,5998.0,6033.75,2302285,6033.75
2013-01-15,5853.07,5878.42,5805.05,5830.4,8453933,5830.4
2013-01-16,5775.41,5822.92,5708.7,5756.2,8053846,5756.2
2013-01-17,5841.03,5925.65,5815.4,5900.03,7110431,5900.03
2013-01-18,5835.66,5909.37,5796.88,5870.59,3270238,5870.59
