Date,Open,High,Low,Close,Volume,Adj Close
2012-11-21,1213.3,1216.4,1189.48,1200.0,4709222,1200.0
2012-11-22,1186.62,1205.45,1168.09,1188.89,610155,1188.89
2012-11-23,1169.04,1191.94,1168.83,1176.48,2357520,1176.48
2012-11-24,1223.11,1237.38,1181.55,1196.71,1576483,1196.71
2012-11-25,1203.93,1223.61,1191.71,1209.42,3512341,1209.42
2012-11-26,1219.75,1231.57,1174.91,1195.89,4835949,1195.89
2012-11-27,1231.25,1255.49,1217.29,1243.25,4378204,1243.25
2012-11-28,1248.21,1252.83,1238.49,1239.32,4641688,1239.32
2012-11-29,1226.03,1250.25,1203.78,1232.87,2848662,1232.87
2012-11-30,1224.63,1240.15,1221.95,1234.97,789057,1234.97
2012-12-01,1249.21,1286.21,1233.4,1257.74,3525748,1257.74
2012-12-02,1246.0,1252.41,1230.26,1246.28,4943441,1246.28
2012-12-03,1196.98,1230.5,1184.26,1212.51,1402365,1212.51
2012-12-04,1218.37,1222.34,1195.48,1205.66,4395217,1205.66
2012-12-05,1224.47,1231.94,1215.75,1221.71,2711917,1221.71
2012-12-06,1213.41,1222.23,1208.81,1219.34,3482261,1219.34
2012-12-07,1227.17,1246.8,1225.08,1231.06,4993637,1231.06
2012-12-08,1205.61,1224.52,1198.44,1217.3,607133,1217.3
2012-12-09,1237.13,1247.34,1216.4,1225.75,4077916,1225.75
2012-12-10,1223.13,1248.72,1181.3,1208.74,859920,1208.74
2012-12-11,1227.18,1240.72,1220.05,1231.32,3240835,1231.32
2012-12-12,1267.35,1281.48,1257.02,1260.48,4189290,1260.48
2012-12-13,1223.02,1225.42,1213.87,1224.44,3754163,1224.44
2012-12-14,1217.51,1226.23,1200.98,1214.34,3775686,1214.34
2012-12-15,1191.57,1207.27,1179.14,1200.81,4371018,1200.81
2012-12-16,1211.18,1236.05,1159.04,1187.36,3762021,1187.36
2012-12-17,1172.55,1178.27,1146.89,1167.31,2531164,1167.31
2012-12-18,1169.87,1171.45,1157.41,1169.08,3834783,1169.08
2012-12-19,1192.96,1196.8,1186.3,1195.59,1776479,1195.59
2012-12-20,1250.75,1266.29,1210.45,1231.08,4682454,1231.08
2012-12-21,1248.91,1254.56,1221.18,1228.22,1636711,1228.22
2012-12-22,1239.71,1263.41,1222.57,1235.55,2377786,1235.55
2012-12-23,1259.94,1274.99,1258.04,1271.0,1924013,1271.0
2012-12-24,1298.55,1322.9,1274.36,1298.33,4528050,1298.33
2012-12-25,1277.58,1293.66,1270.86,1286.95,1676790,1286.95
2012-12-26,1277.37,1291.17,1276.44,1282.52,2386276,1282.52
2012-12-27,1313.21,1321.6,1282.76,1300.96,3138035,1300.96
2012-12-28,1326.21,1339.08,1297.69,1312.02,1837742,1312.02
2012-12-29,1266.52,1315.48,1254.59,1288.37,4492491,1288.37
2012-12-30,1255.45,1280.92,1242.05,1271.81,3125297,1271.81
2012-12-31,1279.53,1297.54,1261.56,1294.51,4464580,1294.51
2013-01-01,1261.8,1284.95,1239.07,1278.42,2090500,1278.42
2013-01-02,1266.64,1280.09,1255.4,1262.63,1975414,1262.63
2013-01-03,1248.3,1269.34,1244.75,1260.44,4946043,1260.44
2013-01-04,1241.53,1263.56,1233.61,1254.11,2959774,1254.11
2013-01-05,1235.55,1241.41,1232.51,1234.88,4523835,1234.88
2013-01-06,1199.82,1239.69,1196.77,1222.67,3947837,1222.67
2013-01-07,1209.58,1222.23,1199.8,1218.3,4488251,1218.3
2013-01-08,1191.72,1206.62,1183.39,1203.48,2191626,1203.48
2013-01-09,1189.12,1237.43,1171.15,1212.98,3067465,1212.98
2013-01-10,1189.83,1207.16,1152.83,1164.59,2091881,1164.59
2013-01-11,1184.53,1197.39,1157.6,1176.75,2797810,1176.75
2013-01-12,1184.05,1221.34,1170.87,1196.55,1910040,1196.55
2013-01-13,1227.08,1227.59,1193.38,1209.27,4319328,1209.27
2013-01-14,1156.8,1182.77,1149.77,1161.94,1794836,1161.94
2013-01-15,1131.58,1155.6,1115.83,1148.29,4374312,1148.29
2013-01-16,1161.46,1165.88,1148.62,1149.97,892669,1149.97
2013-01-17,1178.3,1188.42,1161.88,1170.44,3646002,1170.44
2013-01-18,1177.49,1177.82,1168.58,1174.92,3578130,1174.92
2013-01-19,1147.62,1202.04,1137.78,1174.01,4946260,1174.01
2013-01-20,1141.96,1168.34,1134.79,1163.24,1632491,1163.24
2013-01-21,1161.22,1178.21,1156.25,1167.77,3849433,1167.77
2013-01-22,1165.67,1180.1,1151.2,1174.7,2747871,1174.7
2013-01-23,1136.09,1163.79,1123.61,1147.12,694128,1147.12
2013-01-24,1139.05,1151.62,1130.2,1137.91,4753284,1137.91
2013-01-25,1180.98,1191.98,1168.24,1168.47,1693110,1168.47
2013-01-26,1144.51,1161.78,1138.54,1151.56,2391959,1151.56
2013-01-27,1190.18,1206.47,1162.9,1171.31,2694954,1171.31
2013-01-28,1201.95,1204.48,1194.58,1201.43,4928482,1201.43
2013-01-29,1212.93,1227.19,1207.77,1217.53,2847026,1217.53
2013-01-30,1224.55,1229.05,1192.62,1206.11,902336,1206.11
2013-01-31,1224.96,1235.64,1211.95,1224.05,2351170,1224.05
2013-02-01,1217.35,1226.64,1206.37,1219.22,4620561,1219.22
2013-02-02,1207.78,1228.82,1192.2,1211.89,1059666,1211.89
2013-02-03,1224.18,1224.31,1184.57,1197.79,4839492,1197.79
2013-02-04,1183.31,1189.42,1169.93,1177.35,1206587,1177.35
2013-02-05,1178.39,1186.87,1165.89,1184.15,2406012,1184.15
2013-02-06,1188.07,1209.56,1179.07,1180.16,2614442,1180.16
2013-02-07,1190.03,1205.09,1184.34,1184.99,876456,1184.99
2013-02-08,1200.33,1219.58,1162.19,1183.78,2678065,1183.78
2013-02-09,1203.61,1206.86,1186.17,1194.04,3024286,1194.04
2013-02-10,1186.32,1200.46,1165.1,1176.06,3266890,1176.06
2013-02-11,1202.93,1205.85,1175.08,1197.9,973659,1197.9
2013-02-12,1189.35,1201.13,1167.47,1176.64,4671395,1176.64
2013-02-13,1175.73,1188.09,1165.81,1184.94,2351026,1184.94
2013-02-14,1169.55,1184.88,1163.33,1179.9,574421,1179.9
2013-02-15,1165.0,1168.51,1163.99,1167.69,2153617,1167.69
2013-02-16,1153.78,1178.95,1140.26,1159.86,4429646,1159.86
2013-02-17,1160.45,1175.23,1158.68,1164.82,1875827,1164.82
2013-02-18,1151.3,1154.84,1137.8,1147.07,1301555,1147.07
2013-02-19,1120.46,1133.32,1115.93,1132.15,4435022,1132.15
2013-02-20,1164.3,1185.2,1135.95,1153.81,2195816,1153.81
2013-02-21,1167.48,1182.06,1152.13,1152.58,1980555,1152.58
2013-02-22,1145.46,1163.77,1128.47,1151.39,4301396,1151.39
2013-02-23,1119.63,1133.93,1110.65,1119.5,4564864,1119.5
2013-02-24,1091.77,1115.11,1075.4,1101.37,1931398,1101.37
2013-02-25,1113.27,1118.46,1096.8,1106.51,3436614,1106.51
2013-02-26,1100.93,1105.96,1088.79,1093.87,3835390,1093.87
2013-02-27,1099.84,1122.49,1090.25,1111.21,3880300,1111.21
2013-02-28,1107.8,1115.67,1107.29,1114.38,2223906,1114.38
2013-03-01,1078.83,1085.78,1068.95,1083.72,4108684,1083.72
2013-03-02,1088.54,1114.45,1074.41,1095.19,3275263,1095.19
2013-03-03,1108.62,1109.6,1089.41,1092.13,3940661,1092.13
2013-03-04,1053.3,1056.61,1045.72,1047.63,4316519,1047.63
2013-03-05,1070.32,1074.48,1054.02,1063.66,977208,1063.66
2013-03-06,1087.99,1098.86,1086.54,1090.72,1623592,1090.72
2013-03-07,1091.1,1130.79,1076.21,1108.06,3484920,1108.06
2013-03-08,1104.21,1121.22,1090.94,1119.05,2790164,1119.05
2013-03-09,1111.8,1119.7,1104.26,1112.38,2134726,1112.38
2013-03-10,1123.55,1134.96,1117.91,1125.93,3769325,1125.93
2013-03-11,1128.88,1134.32,1127.4,1131.37,732317,1131.37
2013-03-12,1146.31,1170.5,1145.14,1156.87,2370095,1156.87
2013-03-13,1155.83,1185.74,1142.79,1167.96,2273131,1167.96
2013-03-14,1183.8,1189.09,1171.61,1173.49,1751510,1173.49
2013-03-15,1184.67,1186.19,1178.33,1182.66,4279734,1182.66
2013-03-16,1186.11,1188.89,1166.65,1176.44,1990124,1176.44
2013-03-17,1174.49,1183.21,1163.5,1177.15,2165819,1177.15
2013-03-18,1254.03,1259.06,1239.01,1248.73,4197159,1248.73
2013-03-19,1275.49,1277.9,1252.02,1259.16,506896,1259.16
2013-03-20,1206.17,1230.38,1193.12,1216.36,1720411,1216.36
2013-03-21,1187.22,1189.98,1179.05,1187.71,1118721,1187.71
2013-03-22,1212.68,1219.08,1209.07,1209.48,2140086,1209.48
2013-03-23,1211.74,1226.54,1202.12,1205.32,1230741,1205.32
2013-03-24,1173.79,1228.98,1151.69,1201.03,788073,1201.03
