Date,Open,High,Low,Close,Volume,Adj Close
2012-11-21,391.16,407.25,386.94,400.0,1729240,400.0
2012-11-22,398.87,406.31,397.26,402.67,3453093,402.67
2012-11-23,414.65,418.32,408.47,411.23,2673490,411.23
2012-11-24,410.12,410.41,404.09,409.56,4431118,409.56
2012-11-25,417.97,423.4,414.02,417.0,4102931,417.0
2012-11-26,422.83,427.77,419.24,421.07,3447192,421.07
2012-11-27,419.48,427.76,416.9,422.96,1890299,422.96
2012-11-28,414.3,419.67,413.5,415.02,3312721,415.02
2012-11-29,418.64,419.31,413.37,413.81,2184189,413.81
2012-11-30,417.8,423.17,414.96,415.92,2864295,415.92
2012-12-01,408.33,415.93,407.23,412.7,1694804,412.7
2012-12-02,419.01,422.9,415.91,416.14,2953761,416.14
2012-12-03,412.18,414.38,411.38,411.98,4848575,411.98
2012-12-04,424.32,427.0,415.37,418.24,2878572,418.24
2012-12-05,426.61,428.16,421.38,423.51,2984923,423.51
2012-12-06,420.42,429.24,414.37,422.93,2476260,422.93
2012-12-07,419.03,420.07,415.25,419.09,3607205,419.09
2012-12-08,428.63,430.81,423.9,427.07,2628709,427.07
2012-12-09,426.04,428.55,421.06,423.92,1998630,423.92
2012-12-10,421.08,422.71,413.21,415.6,2033783,415.6
2012-12-11,428.42,431.99,424.79,427.92,3468573,427.92
2012-12-12,437.14,440.1,433.33,440.0,3784964,440.0
2012-12-13,442.51,446.11,433.42,438.23,1794726,438.23
2012-12-14,426.5,438.43,422.65,431.8,1412125,431.8
2012-12-15,431.84,437.58,431.01,433.45,2503239,433.45
2012-12-16,441.24,442.48,438.92,440.98,3579478,440.98
2012-12-17,445.8,450.8,438.04,447.0,2964263,447.0
2012-12-18,460.1,460.69,456.04,458.18,1724915,458.18
2012-12-19,460.07,461.64,453.17,455.72,3703619,455.72
2012-12-20,457.52,465.4,452.36,456.41,4272450,456.41
2012-12-21,451.7,464.65,447.87,458.46,3278695,458.46
2012-12-22,444.98,449.95,441.48,446.78,3300747,446.78
2012-12-23,431.82,443.64,428.92,440.92,3835355,440.92
2012-12-24,451.01,453.85,445.36,447.62,3014305,447.62
2012-12-25,449.53,458.13,444.82,453.89,2958306,453.89
2012-12-26,448.33,456.13,447.96,450.39,3494190,450.39
2012-12-27,458.17,467.64,452.13,460.26,4613199,460.26
2012-12-28,452.06,456.42,440.66,446.49,1514451,446.49
2012-12-29,441.02,449.25,426.6,435.81,4578047,435.81
2012-12-30,427.48,429.4,422.4,426.36,1514934,426.36
2012-12-31,423.52,425.25,419.8,422.39,4606493,422.39
2013-01-01,416.9,419.53,415.14,417.52,3188320,417.52
2013-01-02,415.73,420.69,412.35,417.79,3873349,417.79
2013-01-03,418.84,421.26,408.49,413.39,900628,413.39
2013-01-04,418.29,425.54,415.16,423.27,3729497,423.27
2013-01-05,400.7,418.5,393.09,410.27,530745,410.27
2013-01-06,403.93,408.52,400.56,403.22,3642155,403.22
2013-01-07,402.8,407.31,399.89,406.01,2980665,406.01
2013-01-08,397.4,397.86,388.54,394.42,4384128,394.42
2013-01-09,410.25,413.03,401.77,405.06,2535824,405.06
2013-01-10,406.05,412.25,396.59,396.6,4435527,396.6
