Date,Open,High,Low,Close,Volume,Adj Close
2012-11-21,49.66,50.86,48.82,50.0,2275981,50.0
2012-11-22,49.9,50.45,49.47,50.0,3594416,50.0
2012-11-23,51.62,51.94,50.97,51.29,2006110,51.29
2012-11-24,49.05,50.8,48.21,50.0,823139,50.0
2012-11-25,50.53,51.66,50.0,51.08,2494164,51.08
2012-11-26,51.7,52.69,51.57,52.16,1205252,52.16
2012-11-27,53.35,54.43,51.23,52.3,1586556,52.3
2012-11-28,53.56,53.84,52.05,52.74,2517486,52.74
2012-11-29,52.49,52.93,51.47,51.94,2583193,51.94
2012-11-30,51.29,52.27,50.57,51.99,2579708,51.99
2012-12-01,50.2,50.73,50.04,50.59,2173877,50.59
2012-12-02,49.92,50.46,49.91,50.0,1445401,50.0
2012-12-03,50.56,51.2,49.8,50.0,1227388,50.0
2012-12-04,50.44,50.68,49.51,50.0,1160244,50.0
2012-12-05,50.04,50.94,49.92,50.07,3458358,50.07
2012-12-06,50.65,50.81,49.73,50.0,2877807,50.0
2012-12-07,49.91,50.93,49.71,50.0,4639353,50.0
2012-12-08,50.71,50.96,49.4,50.0,2029260,50.0
2012-12-09,50.84,51.22,50.83,50.99,2193554,50.99
2012-12-10,49.26,51.41,49.13,50.34,1495394,50.34
2012-12-11,50.74,51.35,49.97,50.0,676358,50.0
2012-12-12,51.4,51.82,50.95,51.64,2279000,51.64
2012-12-13,49.94,50.55,49.68,50.12,4918115,50.12
2012-12-14,50.75,51.24,48.97,50.09,727374,50.09
2012-12-15,50.57,51.22,49.35,50.34,3159263,50.34
2012-12-16,52.19,52.35,51.6,51.79,1070307,51.79
2012-12-17,52.55,53.42,51.65,53.28,535601,53.28
2012-12-18,51.33,52.95,50.9,52.11,923763,52.11
2012-12-19,52.44,53.01,52.24,52.64,4245397,52.64
2012-12-20,52.56,53.04,51.14,51.87,4357720,51.87
2012-12-21,51.31,52.51,51.3,51.99,3487959,51.99
2012-12-22,52.19,52.73,50.4,51.57,4463297,51.57
2012-12-23,51.55,52.63,50.04,50.99,4066908,50.99
2012-12-24,50.13,50.59,49.88,50.31,2540042,50.31
2012-12-25,52.28,53.15,50.83,51.76,3110285,51.76
