Date,Open,High,Low,Close,Volume,Adj Close
2012-11-21,149.55,150.17,146.91,150.0,877515,150.0
2012-11-22,151.99,153.75,151.34,152.23,3939596,152.23
2012-11-23,148.94,151.17,147.22,150.5,2302046,150.5
2012-11-24,151.06,156.4,149.97,154.02,1842234,154.02
2012-11-25,153.4,154.55,152.29,154.28,608991,154.28
2012-11-26,150.48,152.49,149.72,151.27,1510854,151.27
2012-11-27,148.01,150.1,146.29,148.92,1517398,148.92
2012-11-28,153.03,153.18,147.64,150.82,4123863,150.82
2012-11-29,147.42,149.12,145.97,147.35,1213859,147.35
2012-11-30,145.16,146.1,142.41,144.1,3754704,144.1
2012-12-01,139.31,144.88,137.14,142.38,608016,142.38
2012-12-02,143.46,144.2,142.59,142.93,1235557,142.93
2012-12-03,144.77,144.92,141.94,143.63,2247258,143.63
2012-12-04,143.02,144.92,140.7,142.15,628498,142.15
2012-12-05,139.18,140.43,138.07,138.68,1139322,138.68
2012-12-06,136.6,139.21,136.45,137.97,1580415,137.97
2012-12-07,137.93,138.19,136.75,137.59,629202,137.59
2012-12-08,139.76,140.7,138.09,138.36,2155571,138.36
2012-12-09,140.3,142.04,138.5,138.52,1409664,138.52
2012-12-10,137.35,139.21,137.28,138.28,2478198,138.28
2012-12-11,135.82,139.02,134.03,137.81,4386304,137.81
2012-12-12,140.31,141.14,139.37,140.91,2332684,140.91
2012-12-13,138.31,140.5,136.64,139.95,2138186,139.95
2012-12-14,140.71,143.01,137.77,140.05,3681492,140.05
2012-12-15,137.94,140.96,136.64,139.31,3711614,139.31
2012-12-16,143.42,144.71,141.52,142.25,1722368,142.25
2012-12-17,137.34,140.2,134.78,137.84,4737708,137.84
2012-12-18,137.14,137.38,135.29,135.76,1314532,135.76
2012-12-19,140.84,141.43,139.9,140.21,1903517,140.21
2012-12-20,136.78,142.06,135.6,139.44,2074174,139.44
2012-12-21,143.78,145.67,139.86,141.18,4915892,141.18
2012-12-22,140.93,144.43,138.43,143.36,1285642,143.36
2012-12-23,144.55,146.08,142.22,143.15,1672002,143.15
2012-12-24,144.49,146.11,141.32,142.83,2014227,142.83
2012-12-25,143.91,147.3,141.41,145.59,2513620,145.59
2012-12-26,146.46,149.01,143.37,144.67,4604528,144.67
2012-12-27,146.67,147.74,145.26,147.28,1347451,147.28
2012-12-28,144.5,144.91,141.9,143.76,1068204,143.76
2012-12-29,142.06,143.04,141.15,142.03,4792084,142.03
2012-12-30,145.61,146.19,142.05,144.33,4193823,144.33
2012-12-31,142.51,143.72,142.04,142.46,2405896,142.46
2013-01-01,144.99,148.05,142.38,145.51,1379184,145.51
2013-01-02,148.5,150.0,146.8,149.09,1112410,149.09
2013-01-03,149.27,149.28,146.11,149.22,1806178,149.22
2013-01-04,145.37,147.66,142.06,143.31,2658253,143.31
2013-01-05,143.39,144.77,141.69,143.54,3119076,143.54
2013-01-06,147.8,150.79,147.58,148.92,4644538,148.92
2013-01-07,151.33,151.64,148.33,149.35,1821872,149.35
2013-01-08,154.26,158.29,153.09,155.37,2368734,155.37
2013-01-09,149.67,152.07,147.34,150.19,4078508,150.19
2013-01-10,151.01,151.26,149.39,149.8,1238251,149.8
2013-01-11,149.2,151.47,147.21,150.41,2036340,150.41
2013-01-12,146.76,147.54,146.41,147.32,3554403,147.32
2013-01-13,149.23,150.83,145.41,147.1,4472253,147.1
2013-01-14,141.6,147.28,140.74,144.89,2751573,144.89
2013-01-15,152.4,152.48,151.3,151.59,3659536,151.59
2013-01-16,152.25,154.35,150.68,150.94,2697208,150.94
2013-01-17,151.49,152.92,149.97,151.04,4218424,151.04
2013-01-18,146.69,148.88,144.72,147.26,2210522,147.26
2013-01-19,143.39,143.43,142.53,143.02,3954070,143.02
2013-01-20,138.42,138.74,136.72,137.35,4094692,137.35
2013-01-21,134.43,134.97,133.89,134.61,3372208,134.61
2013-01-22,135.57,137.44,135.17,136.33,991563,136.33
2013-01-23,139.61,140.22,136.83,138.32,3318830,138.32
2013-01-24,137.8,138.98,134.4,136.93,4077599,136.93
2013-01-25,138.14,140.19,135.91,136.9,1612713,136.9
2013-01-26,131.97,136.84,131.85,134.6,1258417,134.6
2013-01-27,136.22,137.25,134.54,136.83,1106719,136.83
2013-01-28,134.85,136.63,133.13,135.25,1478867,135.25
2013-01-29,136.93,137.64,134.59,136.31,4041377,136.31
2013-01-30,138.5,141.42,135.9,139.49,768555,139.49
2013-01-31,136.75,137.06,134.96,136.98,3682962,136.98
2013-02-01,134.45,136.95,131.42,136.89,4135915,136.89
2013-02-02,131.4,132.56,131.4,132.06,4730728,132.06
2013-02-03,127.95,132.05,127.67,129.6,3055815,129.6
2013-02-04,132.02,133.82,130.68,131.25,3932772,131.25
2013-02-05,125.71,129.73,124.7,127.7,1159434,127.7
2013-02-06,123.37,128.21,120.95,125.98,4614309,125.98
2013-02-07,125.77,127.79,123.61,125.0,3674089,125.0
2013-02-08,124.39,126.46,123.89,124.71,1753636,124.71
2013-02-09,124.66,127.31,123.58,126.54,3409697,126.54
2013-02-10,129.96,131.23,129.45,130.91,3378338,130.91
2013-02-11,133.85,134.78,133.35,134.15,1513192,134.15
2013-02-12,137.26,138.07,135.86,136.27,1373403,136.27
2013-02-13,131.81,134.5,130.7,133.4,4706440,133.4
2013-02-14,128.76,130.29,127.86,129.71,1791214,129.71
2013-02-15,131.84,133.82,131.51,132.53,4900598,132.53
2013-02-16,132.45,133.88,131.28,132.58,624492,132.58
2013-02-17,136.36,136.36,133.92,135.28,2409668,135.28
2013-02-18,138.24,139.73,135.91,137.13,2824919,137.13
2013-02-19,141.33,143.03,139.52,139.86,2745124,139.86
2013-02-20,143.57,148.43,140.82,145.53,3713956,145.53
2013-02-21,145.51,146.97,145.01,145.42,2365768,145.42
2013-02-22,144.84,146.72,144.4,146.07,4758988,146.07
2013-02-23,143.87,145.97,143.61,144.57,4062547,144.57
2013-02-24,139.9,142.62,139.04,140.89,1079114,140.89
2013-02-25,141.71,142.56,138.79,140.04,1675239,140.04
2013-02-26,142.2,142.58,141.0,141.8,2656265,141.8
2013-02-27,146.22,146.58,143.03,143.99,4602925,143.99
2013-02-28,142.85,145.54,141.45,143.16,4998253,143.16
2013-03-01,143.3,143.81,142.2,143.31,2854570,143.31
2013-03-02,149.49,152.69,146.66,147.12,1723687,147.12
2013-03-03,143.68,147.18,141.07,145.31,2845775,145.31
2013-03-04,144.8,147.34,144.14,145.43,4855492,145.43
2013-03-05,148.38,149.78,147.49,148.89,1768915,148.89
2013-03-06,149.65,150.55,147.11,147.86,4867895,147.86
2013-03-07,144.11,147.11,141.84,145.93,951661,145.93
2013-03-08,147.37,149.22,147.22,148.62,3192150,148.62
2013-03-09,149.3,150.51,147.53,147.93,1930835,147.93
2013-03-10,146.5,147.6,145.44,146.26,4300780,146.26
2013-03-11,143.85,147.64,142.1,146.46,4173343,146.46
2013-03-12,143.13,146.15,142.51,144.6,2081616,144.6
2013-03-13,147.29,148.29,143.39,144.28,2625510,144.28
2013-03-14,146.77,150.29,144.06,148.37,3145241,148.37
2013-03-15,148.46,149.59,143.23,145.05,2725000,145.05
2013-03-16,142.47,145.5,140.66,143.73,2771610,143.73
2013-03-17,140.83,141.93,140.67,141.15,4224194,141.15
2013-03-18,134.07,134.7,133.59,134.28,4325492,134.28
2013-03-19,135.15,138.15,133.67,137.27,4620238,137.27
2013-03-20,136.74,137.91,136.13,136.87,4980767,136.87
2013-03-21,137.59,138.88,133.49,135.56,3400007,135.56
2013-03-22,132.6,134.77,131.99,133.31,931047,133.31
2013-03-23,132.24,133.07,129.44,130.7,2376991,130.7
2013-03-24,127.13,127.84,125.93,127.4,1831590,127.4
2013-03-25,125.78,126.61,123.75,124.74,3838114,124.74
2013-03-26,119.05,120.51,117.11,120.0,3463483,120.0
2013-03-27,121.96,122.44,121.63,121.9,2774515,121.9
2013-03-28,124.76,125.07,122.94,124.53,613388,124.53
2013-03-29,128.66,129.91,127.47,129.51,3726127,129.51
2013-03-30,129.68,133.74,129.64,131.75,3464941,131.75
