Date,Open,High,Low,Close,Volume,Adj Close
2012-11-21,60.39,61.0,59.53,60.0,4380600,60.0
2012-11-22,60.09,60.87,59.1,60.45,1115949,60.45
2012-11-23,61.85,62.57,61.43,62.1,3282656,62.1
2012-11-24,61.25,61.83,60.84,61.74,3649194,61.74
2012-11-25,61.4,62.17,59.95,60.89,1813135,60.89
2012-11-26,59.97,60.51,59.28,60.42,2888970,60.42
2012-11-27,59.95,61.02,59.62,60.39,807883,60.39
2012-11-28,60.17,60.8,59.3,60.03,3697162,60.03
2012-11-29,59.03,60.07,58.05,59.27,1080857,59.27
2012-11-30,57.18,59.21,56.4,58.03,4764089,58.03
2012-12-01,58.7,59.26,57.11,58.31,2286829,58.31
2012-12-02,58.39,58.98,57.69,57.72,1566682,57.72
2012-12-03,56.56,56.78,56.08,56.25,2827148,56.25
2012-12-04,57.19,57.59,56.93,57.07,1251279,57.07
2012-12-05,55.83,56.58,55.39,56.04,2744731,56.04
2012-12-06,55.54,56.74,54.78,55.97,607384,55.97
2012-12-07,56.61,57.26,56.09,56.5,4783306,56.5
2012-12-08,56.67,57.99,56.07,56.96,1696306,56.96
2012-12-09,58.71,58.74,58.28,58.3,4036148,58.3
2012-12-10,58.02,58.73,57.94,58.66,2337008,58.66
2012-12-11,58.64,59.37,57.89,58.26,2045232,58.26
2012-12-12,57.96,58.62,57.9,58.22,1610855,58.22
2012-12-13,56.44,57.88,56.33,57.25,4966009,57.25
2012-12-14,57.37,57.49,56.38,57.16,918785,57.16
2012-12-15,57.38,58.85,56.44,57.78,2575543,57.78
2012-12-16,58.37,58.98,57.66,58.76,1065590,58.76
2012-12-17,57.67,58.76,56.78,57.02,2179642,57.02
2012-12-18,57.48,57.95,56.86,57.55,4322984,57.55
2012-12-19,56.44,57.51,55.76,57.26,2865977,57.26
2012-12-20,58.62,60.46,57.39,59.75,714697,59.75
2012-12-21,61.08,61.48,60.87,61.45,4667050,61.45
2012-12-22,59.89,60.92,59.03,60.77,2040313,60.77
2012-12-23,59.91,60.37,59.31,59.78,2505134,59.78
2012-12-24,57.87,58.6,57.39,58.03,1189861,58.03
2012-12-25,58.5,59.17,57.82,58.42,1482569,58.42
2012-12-26,57.48,59.3,57.31,58.3,4441679,58.3
2012-12-27,59.7,59.94,58.14,58.88,1550410,58.88
2012-12-28,58.38,59.68,57.6,58.89,4923217,58.89
2012-12-29,56.67,57.08,55.91,57.07,2536719,57.07
2012-12-30,56.82,57.59,55.61,56.28,1533841,56.28
2012-12-31,55.74,56.87,54.22,54.98,3637015,54.98
2013-01-01,55.11,55.49,54.74,55.19,1442395,55.19
2013-01-02,55.6,56.54,54.21,54.88,3608999,54.88
2013-01-03,54.69,54.69,54.52,54.61,4958791,54.61
2013-01-04,53.9,54.45,53.69,54.31,3413994,54.31
2013-01-05,56.63,57.71,55.65,56.25,2286933,56.25
2013-01-06,57.51,57.79,56.67,57.01,4221210,57.01
2013-01-07,59.17,60.29,57.83,58.21,4712376,58.21
2013-01-08,59.9,61.08,59.05,60.42,4142109,60.42
2013-01-09,59.0,59.37,58.24,59.06,2056052,59.06
2013-01-10,58.68,59.77,58.29,59.66,3102889,59.66
2013-01-11,60.45,61.12,59.45,59.64,2082705,59.64
2013-01-12,61.97,62.48,61.31,62.46,4039009,62.46
2013-01-13,62.0,62.9,61.98,62.42,4353491,62.42
2013-01-14,61.79,62.4,60.21,61.39,1220277,61.39
2013-01-15,62.32,62.92,60.96,62.02,631177,62.02
2013-01-16,61.39,62.48,61.22,61.99,4800699,61.99
2013-01-17,63.42,64.3,63.02,63.27,526580,63.27
2013-01-18,64.01,64.08,62.69,63.09,4201708,63.09
2013-01-19,62.79,63.39,61.16,62.42,3885797,62.42
2013-01-20,60.89,62.47,59.9,61.96,3541844,61.96
2013-01-21,60.19,61.28,58.73,59.53,1686275,59.53
2013-01-22,59.37,59.73,58.5,59.1,4527093,59.1
2013-01-23,59.17,59.45,58.57,58.68,817375,58.68
2013-01-24,59.51,59.99,58.35,58.86,935140,58.86
2013-01-25,60.34,60.4,58.88,59.34,4161886,59.34
2013-01-26,60.37,60.4,58.72,59.74,803676,59.74
2013-01-27,58.9,59.73,58.56,59.47,1856599,59.47
2013-01-28,58.36,58.72,58.03,58.22,536025,58.22
2013-01-29,59.63,60.14,58.39,59.33,609338,59.33
2013-01-30,60.89,61.98,59.56,60.13,3653494,60.13
2013-01-31,61.51,62.01,61.3,61.71,3306450,61.71
2013-02-01,63.05,63.98,61.96,62.42,1704353,62.42
2013-02-02,60.96,62.04,60.81,61.79,1989519,61.79
2013-02-03,60.63,61.97,59.7,61.65,1950636,61.65
2013-02-04,60.18,62.18,59.65,61.27,2496243,61.27
2013-02-05,60.98,61.62,59.85,61.6,1274341,61.6
2013-02-06,61.25,62.54,60.47,62.32,2598517,62.32
2013-02-07,62.41,63.66,61.91,62.62,4367184,62.62
2013-02-08,61.44,62.94,61.21,61.81,4342501,61.81
2013-02-09,62.37,63.78,60.74,61.53,2173679,61.53
2013-02-10,62.32,63.23,61.8,62.33,3217113,62.33
2013-02-11,63.64,63.88,62.57,63.04,3950226,63.04
2013-02-12,62.48,64.07,61.37,63.31,3332042,63.31
2013-02-13,66.04,67.2,63.64,64.83,1635518,64.83
2013-02-14,64.92,66.23,62.82,64.16,1048999,64.16
2013-02-15,63.96,65.06,63.52,64.48,4470241,64.48
2013-02-16,66.23,67.56,64.92,65.48,4091562,65.48
2013-02-17,65.35,65.92,65.0,65.07,2620165,65.07
