Date,Open,High,Low,Close,Volume,Adj Close
2012-11-21,4413.14,4600.7,4375.19,4500.0,4141059,4500.0
2012-11-22,4512.86,4612.59,4385.39,4466.4,4195181,4466.4
2012-11-23,4488.36,4513.63,4469.32,4501.46,4189165,4501.46
2012-11-24,4395.37,4536.34,4325.49,4480.61,4063506,4480.61
2012-11-25,4482.87,4564.45,4404.27,4491.1,2876891,4491.1
2012-11-26,4496.16,4523.96,4491.38,4496.46,4344229,4496.46
2012-11-27,4538.53,4620.94,4478.94,4568.88,4190032,4568.88
2012-11-28,4596.4,4714.75,4529.16,4647.91,652127,4647.91
2012-11-29,4649.18,4697.83,4604.44,4689.14,3692523,4689.14
2012-11-30,4608.44,4720.93,4595.76,4632.26,648811,4632.26
2012-12-01,4771.34,4780.32,4606.27,4686.67,2951582,4686.67
2012-12-02,4625.46,4674.76,4495.75,4551.66,3443630,4551.66
2012-12-03,4586.88,4665.25,4536.39,4556.64,2828516,4556.64
2012-12-04,4553.51,4560.6,4466.86,4525.66,4956545,4525.66
2012-12-05,4631.47,4726.04,4511.33,4584.41,818418,4584.41
2012-12-06,4576.36,4675.05,4506.35,4657.96,1271827,4657.96
2012-12-07,4693.29,4718.19,4633.93,4660.86,583759,4660.86
2012-12-08,4711.31,4740.06,4634.31,4693.94,939973,4693.94
2012-12-09,4758.2,4771.61,4677.89,4712.82,2856453,4712.82
2012-12-10,4794.76,4871.04,4747.46,4784.0,2429436,4784.0
2012-12-11,4851.35,4944.35,4812.44,4924.57,4416663,4924.57
2012-12-12,4998.22,5001.69,4948.71,4953.28,505475,4953.28
2012-12-13,4899.0,4927.56,4839.93,4892.84,3256751,4892.84
2012-12-14,4994.07,5069.57,4913.46,5010.98,3078526,5010.98
2012-12-15,5029.57,5040.32,4974.27,4998.4,4063108,4998.4
2012-12-16,4892.84,5081.37,4887.39,4963.83,4534584,4963.83
2012-12-17,5068.36,5113.11,4995.78,5037.37,3442288,5037.37
2012-12-18,5064.35,5104.27,5035.81,5079.3,2457226,5079.3
2012-12-19,5137.38,5171.49,5059.4,5071.41,2440120,5071.41
2012-12-20,4976.83,5023.24,4972.83,5006.2,667380,5006.2
2012-12-21,5128.02,5168.39,5064.81,5092.91,3640784,5092.91
2012-12-22,5034.16,5232.24,4922.52,5148.18,3913134,5148.18
2012-12-23,5082.19,5191.73,5050.31,5123.18,811389,5123.18
2012-12-24,5205.27,5217.58,5116.49,5155.69,3779008,5155.69
2012-12-25,5114.81,5187.61,5084.34,5158.51,2063675,5158.51
2012-12-26,5317.93,5352.94,5317.79,5340.54,4782560,5340.54
2012-12-27,5478.5,5480.68,5375.59,5433.09,1944592,5433.09
2012-12-28,5432.95,5543.7,5366.42,5532.51,1919407,5532.51
2012-12-29,5576.57,5631.18,5492.04,5577.97,4551125,5577.97
2012-12-30,5472.89,5479.24,5359.73,5459.45,2389588,5459.45
2012-12-31,5373.7,5470.64,5355.05,5391.97,1507979,5391.97
2013-01-01,5473.66,5475.88,5417.09,5459.83,3386981,5459.83
2013-01-02,5295.2,5359.61,5206.85,5262.25,4661304,5262.25
2013-01-03,5368.46,5457.19,5332.83,5421.64,509178,5421.64
2013-01-04,5410.09,5475.03,5388.82,5443.78,4894363,5443.78
2013-01-05,5407.34,5532.6,5340.2,5402.75,557745,5402.75
2013-01-06,5570.34,5582.07,5389.96,5478.42,4799919,5478.42
2013-01-07,5617.85,5688.26,5508.99,5544.66,2276491,5544.66
2013-01-08,5547.01,5593.1,5486.25,5540.62,4520943,5540.62
2013-01-09,5675.18,5756.93,5631.24,5706.95,4463387,5706.95
2013-01-10,5639.1,5741.9,5625.5,5666.68,847758,5666.68
2013-01-11,5801.25,5812.49,5796.39,5812.22,4838051,5812.22
2013-01-12,6070.27,6125.21,5861.74,5985.78,3813671,5985.78
2013-01-13,6121.32,6138.88,6069.28,6103.66,1388152,6103.66
2013-01-14,5931.18,6055.29,5885.46,6030.68,4941364,6030.68
2013-01-15,6117.6,6189.62,6050.76,6082.19,3989686,6082.19
2013-01-16,6024.08,6111.97,5917.16,6080.5,3290897,6080.5
2013-01-17,6335.52,6390.53,6088.28,6220.35,674112,6220.35
2013-01-18,6190.15,6262.45,6133.64,6216.5,732694,6216.5
2013-01-19,6317.91,6324.16,6224.14,6257.7,4189083,6257.7
2013-01-20,6376.11,6403.34,6259.88,6286.01,3223599,6286.01
