Date,Open,High,Low,Close,Volume,Adj Close
2012-11-21,791.71,809.13,789.89,800.0,4229675,800.0
2012-11-22,789.08,791.48,783.96,786.98,4381908,786.98
2012-11-23,819.29,832.93,804.26,810.17,4549637,810.17
2012-11-24,772.57,792.38,763.97,784.2,4510051,784.2
2012-11-25,776.23,776.45,761.37,772.93,2550602,772.93
2012-11-26,786.25,794.29,772.36,781.78,896657,781.78
2012-11-27,803.58,812.56,802.35,809.25,2704927,809.25
2012-11-28,835.77,841.99,819.64,827.6,3159111,827.6
2012-11-29,857.75,861.77,837.85,849.35,1018053,849.35
2012-11-30,858.04,861.0,837.53,853.07,4248870,853.07
2012-12-01,815.17,822.66,808.74,818.67,4898522,818.67
2012-12-02,821.39,844.65,810.74,833.96,1975160,833.96
2012-12-03,849.1,856.69,834.64,837.76,3611204,837.76
2012-12-04,818.5,833.14,816.94,831.59,4005988,831.59
2012-12-05,824.44,833.48,823.24,826.05,4077948,826.05
2012-12-06,817.85,822.71,812.35,819.46,856083,819.46
2012-12-07,826.04,833.73,816.05,824.56,3045223,824.56
2012-12-08,833.93,843.58,820.17,828.31,3288814,828.31
2012-12-09,831.86,832.02,822.62,826.49,1794216,826.49
2012-12-10,804.88,805.31,794.54,797.61,3749977,797.61
2012-12-11,802.09,808.15,801.49,806.47,1217778,806.47
2012-12-12,799.15,816.49,794.07,811.37,4885999,811.37
2012-12-13,793.61,811.52,786.65,801.08,4887293,801.08
2012-12-14,818.17,835.99,801.25,813.54,879160,813.54
2012-12-15,816.79,823.06,810.15,810.31,2167804,810.31
2012-12-16,797.65,813.08,781.2,808.76,2828405,808.76
2012-12-17,813.01,818.82,805.17,807.28,709292,807.28
2012-12-18,787.91,798.17,773.9,785.79,1040455,785.79
2012-12-19,777.96,786.39,771.89,782.28,1937571,782.28
2012-12-20,771.73,775.67,768.35,770.12,4496228,770.12
2012-12-21,759.2,768.47,735.2,746.12,1818573,746.12
2012-12-22,767.5,771.21,760.17,764.95,4830581,764.95
2012-12-23,751.07,759.89,743.05,752.74,4505964,752.74
2012-12-24,753.35,759.25,746.78,751.94,3716471,751.94
2012-12-25,775.29,785.49,769.24,769.94,3821657,769.94
2012-12-26,793.37,801.16,780.11,784.0,3648662,784.0
2012-12-27,807.56,819.59,783.01,794.91,1800220,794.91
2012-12-28,795.09,809.3,777.12,791.44,4565719,791.44
2012-12-29,770.64,786.98,769.92,784.69,2652268,784.69
2012-12-30,774.07,776.52,757.58,768.9,2477904,768.9
2012-12-31,768.73,784.91,766.54,782.48,4699485,782.48
2013-01-01,793.47,802.49,782.0,787.98,1200206,787.98
2013-01-02,771.36,784.95,770.83,781.75,4094253,781.75
2013-01-03,787.8,797.25,786.48,789.85,4862398,789.85
2013-01-04,792.25,806.06,785.96,794.88,4751991,794.88
2013-01-05,806.34,806.59,779.81,791.25,4333057,791.25
2013-01-06,774.91,790.52,763.96,780.11,2617699,780.11
2013-01-07,769.13,778.98,764.83,772.99,4248056,772.99
2013-01-08,767.14,768.9,747.33,757.41,4985407,757.41
2013-01-09,772.84,776.67,766.33,769.44,1552005,769.44
2013-01-10,777.81,783.84,766.56,773.13,2140304,773.13
2013-01-11,768.31,773.1,758.45,767.58,4165129,767.58
2013-01-12,733.34,741.42,726.63,739.86,4526269,739.86
2013-01-13,763.0,769.32,750.28,756.74,3437781,756.74
2013-01-14,780.05,786.34,769.92,773.03,4362869,773.03
2013-01-15,768.64,784.51,761.13,775.48,3414378,775.48
2013-01-16,792.38,801.78,785.73,791.58,3060712,791.58
2013-01-17,763.68,765.48,756.03,761.44,3399638,761.44
2013-01-18,766.9,772.7,765.12,771.57,2363252,771.57
2013-01-19,754.45,772.02,745.63,762.18,2083727,762.18
2013-01-20,781.43,796.22,766.7,777.18,3335894,777.18
2013-01-21,790.65,801.71,786.76,796.62,3325819,796.62
2013-01-22,790.94,803.34,786.54,797.42,766610,797.42
2013-01-23,813.85,819.39,811.08,816.42,3428398,816.42
2013-01-24,825.24,833.57,814.64,825.57,1492883,825.57
2013-01-25,828.23,858.68,820.1,848.55,3071055,848.55
2013-01-26,839.42,856.51,837.1,847.77,1526421,847.77
2013-01-27,827.97,844.27,817.24,835.16,580913,835.16
2013-01-28,833.38,842.12,831.69,837.96,2355288,837.96
