Date,Open,High,Low,Close,Volume,Adj Close
2012-11-21,303.37,308.28,295.0,300.0,3678598,300.0
2012-11-22,304.29,305.86,302.86,305.19,4106788,305.19
2012-11-23,304.38,307.4,302.61,306.49,1284073,306.49
2012-11-24,301.16,304.28,299.19,300.98,1044925,300.98
2012-11-25,299.42,300.89,296.65,299.9,1032708,299.9
2012-11-26,305.07,308.85,302.36,306.47,3138565,306.47
2012-11-27,307.32,318.03,307.22,312.58,1340964,312.58
2012-11-28,314.85,320.54,314.63,319.18,2585676,319.18
2012-11-29,327.23,331.11,323.78,325.04,3911022,325.04
2012-11-30,326.54,336.6,323.09,329.37,4647235,329.37
2012-12-01,331.66,332.85,330.06,331.67,4958605,331.67
2012-12-02,336.98,340.41,329.88,332.5,3128764,332.5
2012-12-03,332.67,334.86,329.35,333.64,1589064,333.64
2012-12-04,336.94,343.18,329.53,332.51,2497066,332.51
2012-12-05,327.89,330.38,326.5,329.54,4620501,329.54
2012-12-06,335.21,339.02,330.35,334.12,1102896,334.12
2012-12-07,337.09,339.1,334.32,335.0,2410933,335.0
2012-12-08,344.82,347.43,341.49,342.68,3485007,342.68
2012-12-09,333.04,338.54,332.73,337.08,875304,337.08
2012-12-10,340.17,347.56,336.01,337.49,4231168,337.49
2012-12-11,342.07,348.05,335.37,339.1,4159149,339.1
2012-12-12,342.29,344.75,336.9,342.92,3380531,342.92
2012-12-13,341.53,344.06,338.58,339.97,4046869,339.97
2012-12-14,337.61,338.63,336.13,336.57,612302,336.57
2012-12-15,320.36,324.88,316.57,321.64,1939016,321.64
2012-12-16,316.45,318.2,311.78,314.57,2724084,314.57
2012-12-17,318.98,322.11,307.82,313.34,4025391,313.34
2012-12-18,315.47,316.22,310.89,315.44,890723,315.44
2012-12-19,306.36,309.97,305.98,306.56,4720400,306.56
2012-12-20,310.72,311.4,307.81,310.22,3798617,310.22
2012-12-21,298.67,301.55,295.78,300.92,762991,300.92
2012-12-22,299.44,302.79,298.5,302.05,1629011,302.05
2012-12-23,290.89,292.25,290.11,291.63,4415998,291.63
2012-12-24,293.7,295.71,293.11,293.35,2275294,293.35
2012-12-25,286.33,287.36,284.81,285.12,1136874,285.12
2012-12-26,284.82,290.6,281.49,286.66,1638108,286.66
2012-12-27,285.8,287.76,280.46,281.3,2538375,281.3
2012-12-28,279.52,285.68,274.08,276.7,2976417,276.7
2012-12-29,275.08,280.83,273.21,279.02,1220526,279.02
2012-12-30,281.7,290.07,277.73,285.73,4248163,285.73
2012-12-31,285.73,295.15,280.52,290.84,4258840,290.84
2013-01-01,292.21,294.64,291.99,292.55,4130012,292.55
2013-01-02,297.31,297.48,296.14,297.44,3291755,297.44
2013-01-03,305.98,307.5,298.57,301.76,2430957,301.76
2013-01-04,303.02,303.16,298.82,302.0,3369586,302.0
2013-01-05,303.71,305.7,298.98,304.26,1956048,304.26
