Date,Open,High,Low,Close,Volume,Adj Close
2012-11-21,247.41,252.02,246.4,250.0,3026974,250.0
2012-11-22,252.0,254.7,250.19,254.29,987926,254.29
2012-11-23,259.41,263.62,254.54,259.26,4069562,259.26
2012-11-24,255.76,257.1,254.96,255.1,2891897,255.1
2012-11-25,264.16,269.47,258.25,261.19,4903334,261.19
2012-11-26,266.13,270.4,257.27,262.88,3367852,262.88
2012-11-27,258.56,261.15,258.16,260.6,3013265,260.6
2012-11-28,256.45,256.67,254.66,256.49,1402806,256.49
2012-11-29,257.65,259.94,252.61,256.02,1651150,256.02
2012-11-30,247.62,248.97,245.36,245.83,2348062,245.83
2012-12-01,247.47,252.94,246.3,250.26,1073337,250.26
2012-12-02,249.01,250.84,248.23,250.28,4228471,250.28
2012-12-03,245.03,249.7,242.64,248.22,4554201,248.22
2012-12-04,244.09,244.52,241.32,243.39,522155,243.39
2012-12-05,238.36,244.34,237.77,241.06,1427798,241.06
2012-12-06,249.56,253.63,243.36,245.7,4692682,245.7
2012-12-07,240.77,241.31,237.29,238.25,585360,238.25
2012-12-08,240.76,241.94,237.92,238.96,3037309,238.96
2012-12-09,239.84,242.86,236.12,237.08,1649275,237.08
2012-12-10,237.32,241.39,234.06,237.41,691494,237.41
2012-12-11,241.75,245.7,238.25,243.72,931022,243.72
2012-12-12,245.86,248.16,244.0,246.45,2588452,246.45
2012-12-13,243.02,246.42,240.36,243.22,2659319,243.22
2012-12-14,243.29,246.41,238.88,240.59,1542761,240.59
2012-12-15,241.47,246.83,236.75,244.54,2613436,244.54
2012-12-16,244.63,245.98,242.26,245.38,4245421,245.38
2012-12-17,235.75,237.72,232.56,234.45,1546943,234.45
2012-12-18,231.5,241.4,229.48,236.3,1122388,236.3
2012-12-19,238.48,239.99,237.31,239.52,1876730,239.52
2012-12-20,241.99,243.65,238.8,239.76,1533170,239.76
2012-12-21,239.92,240.59,234.23,238.63,3097386,238.63
2012-12-22,238.12,241.64,237.26,240.09,4413241,240.09
2012-12-23,242.05,247.7,238.53,244.52,1370142,244.52
2012-12-24,261.35,261.83,258.79,259.74,3829627,259.74
2012-12-25,258.54,260.24,254.13,257.16,2002804,257.16
2012-12-26,257.86,258.11,253.55,256.35,2247911,256.35
2012-12-27,249.79,254.89,247.65,247.86,4719023,247.86
2012-12-28,254.19,259.78,248.56,254.42,709162,254.42
2012-12-29,257.94,258.84,255.25,256.4,3417529,256.4
2012-12-30,249.99,254.91,249.54,253.34,4495846,253.34
2012-12-31,256.25,260.81,252.99,258.81,4128180,258.81
2013-01-01,252.07,255.91,249.41,251.62,3575670,251.62
2013-01-02,256.58,258.57,251.45,255.38,4335970,255.38
2013-01-03,253.0,255.92,250.28,252.88,3010054,252.88
2013-01-04,255.72,260.16,252.3,260.07,4161857,260.07
2013-01-05,266.5,269.36,260.7,263.49,2499136,263.49
2013-01-06,265.12,268.86,262.19,268.43,2161054,268.43
2013-01-07,270.78,273.79,266.83,268.0,3831420,268.0
2013-01-08,267.01,270.51,259.87,263.0,2698363,263.0
2013-01-09,269.72,272.99,265.35,268.7,2870477,268.7
2013-01-10,277.49,283.14,270.58,275.35,4422001,275.35
2013-01-11,270.96,272.14,270.25,271.55,862690,271.55
2013-01-12,265.99,267.27,263.2,265.43,1685162,265.43
2013-01-13,268.08,269.74,267.05,268.22,3169405,268.22
2013-01-14,269.89,272.53,267.5,268.12,4317551,268.12
2013-01-15,270.89,273.54,266.73,269.39,4930324,269.39
2013-01-16,266.09,268.86,262.18,264.75,1185019,264.75
