Date,Open,High,Low,Close,Volume,Adj Close
2012-11-21,246.83,251.26,244.99,250.0,3573895,250.0
2012-11-22,244.54,245.62,243.9,244.2,1241382,244.2
2012-11-23,244.12,250.27,241.14,246.89,1054732,246.89
2012-11-24,251.13,251.83,248.33,249.17,2678373,249.17
2012-11-25,250.65,254.88,245.04,250.83,1069716,250.83
2012-11-26,255.05,256.76,249.65,253.63,4031257,253.63
2012-11-27,249.78,252.56,246.26,250.56,1428964,250.56
2012-11-28,247.96,252.4,246.67,249.47,1252610,249.47
2012-11-29,247.96,248.37,245.25,247.31,2332191,247.31
2012-11-30,252.79,254.4,251.69,252.11,3621261,252.11
2012-12-01,257.66,258.95,255.93,258.01,3527965,258.01
2012-12-02,252.76,258.07,250.02,255.62,4831263,255.62
2012-12-03,259.26,259.8,252.37,256.18,4881357,256.18
2012-12-04,250.98,252.92,247.54,252.39,4503328,252.39
2012-12-05,247.95,250.83,246.6,250.22,4210221,250.22
2012-12-06,243.47,250.57,240.93,246.68,3505952,246.68
2012-12-07,244.44,248.31,243.86,246.27,1206616,246.27
2012-12-08,241.73,245.21,239.62,244.94,4184583,244.94
2012-12-09,247.67,250.21,245.56,248.21,4640601,248.21
2012-12-10,248.43,252.26,245.76,250.56,2665786,250.56
2012-12-11,243.47,247.54,240.08,246.68,1523372,246.68
2012-12-12,247.38,249.57,247.25,249.46,4786846,249.46
2012-12-13,247.78,252.34,244.71,249.47,740454,249.47
2012-12-14,250.92,255.09,248.81,250.09,4811031,250.09
2012-12-15,258.76,260.25,255.0,257.41,993838,257.41
2012-12-16,256.9,258.38,256.43,257.63,3429189,257.63
2012-12-17,264.53,265.02,262.43,263.06,4941554,263.06
2012-12-18,271.47,276.27,262.18,267.68,4080280,267.68
2012-12-19,273.53,274.77,266.94,271.09,1860885,271.09
2012-12-20,268.91,272.15,265.52,267.62,4692421,267.62
2012-12-21,266.48,269.77,262.18,268.63,3400536,268.63
2012-12-22,267.28,270.7,260.96,265.39,1821359,265.39
2012-12-23,255.28,259.18,252.18,258.43,3477064,258.43
2012-12-24,260.27,265.16,253.25,256.62,4215694,256.62
2012-12-25,263.91,270.15,261.51,266.91,1997225,266.91
2012-12-26,273.75,275.85,267.79,273.79,2510618,273.79
2012-12-27,270.1,270.72,264.95,268.06,2689768,268.06
2012-12-28,266.62,272.24,265.37,268.99,4442107,268.99
2012-12-29,264.22,265.63,263.59,265.11,2582240,265.11
2012-12-30,266.92,267.92,265.52,266.58,3684048,266.58
2012-12-31,266.16,268.06,264.74,266.67,3493825,266.67
2013-01-01,259.78,265.44,259.37,261.9,3444640,261.9
2013-01-02,265.69,267.18,262.61,262.99,2855278,262.99
2013-01-03,262.88,263.3,260.0,262.87,2206899,262.87
2013-01-04,260.79,261.79,260.09,261.66,993672,261.66
2013-01-05,265.35,267.1,261.95,262.44,4784193,262.44
2013-01-06,259.14,261.18,257.16,261.11,3267765,261.11
2013-01-07,261.78,263.32,259.99,262.63,1652027,262.63
2013-01-08,270.1,270.8,267.72,267.96,4670241,267.96
2013-01-09,272.07,272.62,270.4,270.74,4507407,270.74
2013-01-10,269.15,271.81,266.53,270.65,1229537,270.65
2013-01-11,262.97,265.82,261.78,263.07,4801916,263.07
2013-01-12,261.87,263.97,260.23,261.75,4401240,261.75
2013-01-13,260.52,263.27,258.32,261.46,2305520,261.46
2013-01-14,255.25,261.54,253.54,258.96,1421486,258.96
2013-01-15,252.92,262.19,247.48,256.56,889417,256.56
2013-01-16,252.34,254.92,249.78,250.59,870206,250.59
2013-01-17,250.02,252.71,244.14,248.57,3507397,248.57
2013-01-18,239.88,244.83,239.64,241.89,4673298,241.89
2013-01-19,243.69,246.51,239.67,241.67,3608275,241.67
2013-01-20,246.13,249.19,238.48,241.78,1579009,241.78
2013-01-21,239.11,240.23,235.66,238.41,4785454,238.41
2013-01-22,233.83,240.35,232.45,239.05,4863721,239.05
2013-01-23,239.78,244.79,236.34,236.95,2712655,236.95
2013-01-24,234.53,236.7,232.59,235.63,791749,235.63
2013-01-25,240.61,244.7,236.97,243.09,4858470,243.09
2013-01-26,239.32,244.22,238.1,242.48,1569894,242.48
2013-01-27,244.52,247.92,237.21,240.87,757126,240.87
2013-01-28,240.03,240.11,235.65,237.12,3934908,237.12
2013-01-29,231.2,234.6,230.87,233.73,1380813,233.73
2013-01-30,230.7,236.68,228.2,231.16,4831047,231.16
2013-01-31,226.69,230.02,225.5,228.75,1785120,228.75
2013-02-01,221.9,230.16,217.1,224.97,1782041,224.97
2013-02-02,229.66,230.29,224.81,227.09,3013457,227.09
2013-02-03,234.27,236.5,230.62,235.36,1329871,235.36
2013-02-04,234.78,235.16,233.51,234.46,900292,234.46
2013-02-05,232.47,233.3,232.37,232.54,1577854,232.54
2013-02-06,223.4,229.7,221.66,227.14,3597650,227.14
2013-02-07,227.16,231.91,220.84,224.84,2755408,224.84
2013-02-08,224.57,226.26,221.72,222.58,1763778,222.58
2013-02-09,226.04,230.57,223.5,227.91,3176010,227.91
2013-02-10,223.4,223.61,220.57,223.47,2415080,223.47
2013-02-11,219.34,224.47,218.04,223.04,3612016,223.04
2013-02-12,224.14,227.88,222.96,227.29,1418802,227.29
2013-02-13,228.14,230.77,226.7,229.65,2791268,229.65
2013-02-14,235.99,237.82,232.96,233.7,3451640,233.7
2013-02-15,229.74,232.48,228.55,231.16,2380364,231.16
2013-02-16,238.17,238.66,230.52,234.61,3505573,234.61
2013-02-17,224.57,231.25,223.89,229.85,4435347,229.85
2013-02-18,234.61,236.58,227.86,230.98,4188620,230.98
2013-02-19,230.78,233.69,229.34,232.72,4436516,232.72
2013-02-20,227.19,235.34,226.91,231.08,1846869,231.08
2013-02-21,227.79,234.45,225.51,232.97,3012340,232.97
2013-02-22,226.01,231.88,222.01,230.12,1084853,230.12
2013-02-23,222.3,226.48,218.06,224.89,4628533,224.89
2013-02-24,225.12,227.31,220.87,223.79,549762,223.79
2013-02-25,227.72,229.58,223.46,224.11,2723430,224.11
2013-02-26,224.35,225.12,216.43,219.46,1467143,219.46
2013-02-27,219.03,223.07,216.21,218.1,4989198,218.1
2013-02-28,215.33,216.76,213.38,214.44,2037980,214.44
2013-03-01,208.91,211.38,205.73,208.68,993574,208.68
2013-03-02,209.77,216.49,209.45,213.06,3210450,213.06
2013-03-03,218.96,221.97,213.07,215.28,4078186,215.28
2013-03-04,215.94,217.37,213.42,215.04,3995991,215.04
2013-03-05,214.53,214.54,212.95,213.46,3515783,213.46
2013-03-06,212.17,212.69,211.18,211.53,4690858,211.53
2013-03-07,208.27,209.57,207.68,207.76,4805031,207.76
2013-03-08,210.53,213.09,206.31,208.0,1155524,208.0
2013-03-09,211.18,212.65,206.55,210.18,4479596,210.18
2013-03-10,212.06,213.23,209.77,210.03,2255525,210.03
2013-03-11,212.73,214.28,210.92,211.61,1121418,211.61
2013-03-12,214.1,217.83,210.07,216.14,4036467,216.14
2013-03-13,214.73,215.85,213.02,215.14,1843758,215.14
2013-03-14,215.93,221.36,213.11,220.98,826420,220.98
2013-03-15,222.71,223.74,214.15,218.65,3495154,218.65
2013-03-16,221.52,226.04,217.82,220.08,541831,220.08
2013-03-17,211.5,216.17,210.64,213.1,791471,213.1
2013-03-18,214.52,216.54,210.74,212.92,3607796,212.92
2013-03-19,208.38,211.77,206.57,211.05,2311653,211.05
2013-03-20,206.46,206.68,201.96,204.0,998224,204.0
2013-03-21,203.35,207.24,200.72,205.39,4397971,205.39
2013-03-22,203.77,204.96,197.32,200.89,1568264,200.89
2013-03-23,196.05,199.62,192.31,192.41,1096544,192.41
2013-03-24,190.5,191.32,187.74,189.45,1644599,189.45
2013-03-25,193.22,194.48,190.54,190.86,4316818,190.86
2013-03-26,197.35,198.52,195.79,195.92,3754812,195.92
2013-03-27,201.69,204.15,201.07,202.24,1802477,202.24
2013-03-28,207.6,208.19,204.04,206.02,2269826,206.02
2013-03-29,202.03,204.83,199.86,203.62,4489613,203.62
2013-03-30,205.48,208.84,199.57,203.33,2557753,203.33
2013-03-31,204.77,205.59,204.59,204.86,962732,204.86
2013-04-01,205.38,206.9,204.55,205.84,785225,205.84
2013-04-02,198.74,200.98,198.11,200.19,4420047,200.19
2013-04-03,199.49,206.07,198.73,202.16,3550416,202.16
