Date,Open,High,Low,Close,Volume,Adj Close
2012-11-21,3488.85,3518.78,3472.05,3500.0,2782315,3500.0
2012-11-22,3430.11,3478.09,3420.41,3463.11,1297349,3463.11
2012-11-23,3410.22,3443.66,3396.38,3419.54,3533745,3419.54
2012-11-24,3456.91,3465.33,3412.33,3424.9,1493823,3424.9
2012-11-25,3510.28,3532.1,3484.76,3488.61,3709473,3488.61
2012-11-26,3465.35,3536.07,3399.4,3482.3,1003994,3482.3
2012-11-27,3383.2,3403.36,3372.82,3387.89,4848167,3387.89
2012-11-28,3402.38,3455.68,3376.32,3418.29,1207406,3418.29
2012-11-29,3333.0,3420.37,3319.92,3385.83,611312,3385.83
2012-11-30,3356.17,3383.77,3334.42,3375.05,4155919,3375.05
2012-12-01,3485.62,3509.75,3479.88,3480.3,3080839,3480.3
2012-12-02,3586.68,3653.84,3534.11,3643.28,4554829,3643.28
2012-12-03,3701.0,3710.54,3657.7,3681.54,2261589,3681.54
2012-12-04,3808.27,3820.22,3676.95,3746.38,2199716,3746.38
2012-12-05,3664.76,3696.34,3599.66,3653.46,2941657,3653.46
2012-12-06,3735.16,3796.05,3715.12,3748.7,1752644,3748.7
2012-12-07,3700.21,3734.01,3641.31,3663.73,3174639,3663.73
2012-12-08,3625.71,3695.69,3589.8,3674.94,1731625,3674.94
2012-12-09,3660.41,3796.99,3612.96,3722.41,2102978,3722.41
2012-12-10,3701.4,3716.09,3673.26,3704.02,746528,3704.02
2012-12-11,3627.96,3670.29,3598.33,3600.86,1454415,3600.86
2012-12-12,3590.38,3675.15,3527.98,3621.78,2241383,3621.78
2012-12-13,3700.3,3721.56,3601.48,3681.91,4769017,3681.91
2012-12-14,3625.53,3692.17,3506.97,3569.07,2203706,3569.07
2012-12-15,3532.68,3570.15,3505.99,3564.93,842258,3564.93
2012-12-16,3726.03,3780.32,3629.46,3659.52,2939692,3659.52
2012-12-17,3797.46,3817.92,3773.7,3782.24,3917371,3782.24
2012-12-18,3855.62,3910.47,3810.23,3889.76,1804966,3889.76
2012-12-19,3903.66,3993.69,3860.4,3934.91,2626418,3934.91
2012-12-20,3940.96,4015.36,3884.87,3983.7,788019,3983.7
2012-12-21,4025.0,4089.52,3906.53,3995.78,2434687,3995.78
2012-12-22,4110.3,4167.24,4081.35,4148.07,3136186,4148.07
2012-12-23,4042.54,4108.29,3990.54,4054.05,512219,4054.05
2012-12-24,4037.07,4112.08,3984.14,4066.53,4933395,4066.53
2012-12-25,4158.04,4179.77,4041.94,4114.73,4291219,4114.73
2012-12-26,4177.11,4221.89,4123.77,4136.91,993494,4136.91
2012-12-27,4077.51,4092.72,3954.6,4039.33,2831369,4039.33
2012-12-28,4022.09,4057.64,4011.26,4052.29,4101404,4052.29
2012-12-29,4010.32,4077.91,3963.0,4065.12,2400359,4065.12
2012-12-30,3947.63,4062.71,3944.82,4004.82,4504632,4004.82
2012-12-31,3929.43,3994.67,3902.32,3981.75,3198543,3981.75
2013-01-01,3961.08,4028.73,3888.66,4007.35,4994501,4007.35
2013-01-02,4001.3,4044.52,3951.91,3960.36,1540279,3960.36
2013-01-03,4014.3,4040.89,3963.99,3981.17,4170985,3981.17
2013-01-04,4054.1,4188.44,4001.92,4122.42,1741866,4122.42
2013-01-05,4089.2,4115.88,4009.23,4044.33,4328085,4044.33
2013-01-06,4078.78,4122.29,3976.79,4035.16,538530,4035.16
2013-01-07,4113.93,4174.75,4096.5,4150.06,3201789,4150.06
2013-01-08,4090.24,4124.88,4079.67,4080.86,1770508,4080.86
2013-01-09,4078.15,4087.38,3999.63,4021.52,3665963,4021.52
2013-01-10,4010.71,4102.43,4000.53,4040.69,1259856,4040.69
2013-01-11,4091.95,4155.77,3975.89,4015.46,3934842,4015.46
2013-01-12,4174.7,4238.5,4098.37,4119.74,664707,4119.74
2013-01-13,4070.54,4175.54,4017.4,4130.59,4310151,4130.59
2013-01-14,4189.69,4234.47,4145.56,4202.14,1730228,4202.14
2013-01-15,4168.52,4212.71,4028.8,4089.78,1788362,4089.78
2013-01-16,3917.11,3960.44,3894.15,3917.23,1317587,3917.23
2013-01-17,3967.55,4062.42,3940.87,4003.28,522548,4003.28
2013-01-18,3916.74,4007.04,3874.92,3960.45,3174019,3960.45
2013-01-19,3912.53,3989.43,3863.01,3869.21,3759896,3869.21
2013-01-20,3817.37,3902.71,3764.39,3889.12,2130073,3889.12
2013-01-21,3823.11,3847.05,3762.27,3832.89,3816780,3832.89
2013-01-22,3656.26,3709.0,3643.09,3691.03,4831266,3691.03
2013-01-23,3565.3,3578.76,3535.14,3577.25,4857844,3577.25
2013-01-24,3586.96,3592.08,3528.12,3555.15,992439,3555.15
2013-01-25,3391.64,3474.56,3386.53,3432.48,2846929,3432.48
2013-01-26,3283.7,3372.47,3264.5,3345.55,3420541,3345.55
2013-01-27,3521.21,3528.41,3490.13,3503.3,3836287,3503.3
2013-01-28,3489.2,3519.18,3439.62,3503.18,2112396,3503.18
2013-01-29,3579.63,3659.05,3500.15,3543.9,2665195,3543.9
2013-01-30,3610.58,3626.26,3598.06,3600.11,1732457,3600.11
2013-01-31,3514.17,3533.55,3447.16,3504.0,1338544,3504.0
2013-02-01,3377.13,3405.06,3353.92,3380.91,3076128,3380.91
2013-02-02,3347.45,3437.22,3315.34,3392.83,1683356,3392.83
2013-02-03,3276.76,3319.94,3240.06,3287.59,4737761,3287.59
2013-02-04,3422.06,3458.68,3419.65,3427.4,1330070,3427.4
2013-02-05,3529.05,3595.38,3502.78,3558.47,1797441,3558.47
2013-02-06,3533.1,3552.92,3511.66,3540.8,1731994,3540.8
2013-02-07,3480.01,3533.27,3421.62,3458.52,2668236,3458.52
2013-02-08,3421.2,3493.78,3417.57,3453.8,854806,3453.8
2013-02-09,3588.71,3653.94,3489.78,3558.2,3480000,3558.2
2013-02-10,3647.18,3679.8,3621.25,3657.45,3213598,3657.45
2013-02-11,3838.96,3924.56,3676.94,3753.56,2881792,3753.56
2013-02-12,3729.35,3850.95,3722.32,3793.18,2084290,3793.18
2013-02-13,3768.19,3796.47,3722.55,3774.82,1008680,3774.82
2013-02-14,3679.87,3840.26,3652.02,3761.37,4562935,3761.37
2013-02-15,3664.85,3708.4,3647.14,3696.04,3070640,3696.04
2013-02-16,3741.52,3769.33,3659.1,3700.59,793017,3700.59
2013-02-17,3627.59,3652.17,3567.92,3595.78,2771759,3595.78
2013-02-18,3508.83,3570.37,3476.95,3522.03,4322376,3522.03
2013-02-19,3502.39,3534.14,3454.71,3476.0,4510918,3476.0
2013-02-20,3559.85,3562.56,3502.23,3530.46,764666,3530.46
2013-02-21,3520.86,3561.77,3481.14,3540.99,582420,3540.99
2013-02-22,3502.57,3561.5,3455.95,3537.69,3766264,3537.69
2013-02-23,3523.11,3565.86,3435.02,3466.83,4302763,3466.83
2013-02-24,3464.29,3476.85,3434.9,3441.89,1991931,3441.89
2013-02-25,3434.96,3442.58,3386.6,3396.65,1307810,3396.65
2013-02-26,3385.33,3466.13,3307.63,3341.09,703632,3341.09
2013-02-27,3302.18,3311.61,3265.08,3301.65,2294698,3301.65
2013-02-28,3369.37,3409.1,3351.53,3397.23,2778222,3397.23
2013-03-01,3409.7,3455.82,3371.86,3417.99,1529329,3417.99
2013-03-02,3414.39,3526.21,3329.34,3479.17,3788728,3479.17
2013-03-03,3343.68,3399.95,3321.41,3371.69,3631673,3371.69
2013-03-04,3334.51,3430.46,3313.8,3394.9,4298549,3394.9
2013-03-05,3319.35,3400.39,3286.8,3359.12,4554757,3359.12
2013-03-06,3305.22,3335.07,3281.06,3298.53,4784552,3298.53
2013-03-07,3349.43,3370.32,3217.32,3271.27,4551425,3271.27
2013-03-08,3282.26,3304.33,3208.89,3243.98,2773743,3243.98
2013-03-09,3244.37,3276.52,3210.66,3258.31,4835185,3258.31
2013-03-10,3328.17,3350.18,3282.39,3311.28,2502726,3311.28
2013-03-11,3268.6,3295.14,3220.02,3282.25,1658922,3282.25
2013-03-12,3360.56,3366.15,3360.33,3362.94,4634198,3362.94
2013-03-13,3419.85,3450.11,3390.49,3401.49,3805978,3401.49
2013-03-14,3366.61,3435.52,3311.85,3403.38,2195051,3403.38
2013-03-15,3449.06,3551.52,3394.81,3502.31,2306019,3502.31
2013-03-16,3481.94,3554.05,3428.23,3547.51,1846581,3547.51
2013-03-17,3655.28,3667.17,3615.03,3618.66,4907707,3618.66
2013-03-18,3545.76,3583.88,3479.36,3580.17,999777,3580.17
2013-03-19,3667.66,3690.98,3565.53,3627.85,4734763,3627.85
2013-03-20,3730.69,3801.53,3691.51,3744.97,3759569,3744.97
2013-03-21,3738.16,3764.71,3708.13,3733.1,3408343,3733.1
2013-03-22,3726.05,3736.42,3701.03,3717.66,2885960,3717.66
2013-03-23,3589.93,3625.09,3572.13,3599.12,2264065,3599.12
2013-03-24,3649.01,3686.59,3595.61,3625.09,1661840,3625.09
2013-03-25,3795.15,3846.42,3725.25,3733.46,1953959,3733.46
2013-03-26,3797.41,3886.47,3687.31,3732.65,4959392,3732.65
2013-03-27,3726.28,3772.72,3682.12,3682.55,4914281,3682.55
2013-03-28,3675.26,3711.11,3618.42,3633.62,2871107,3633.62
2013-03-29,3586.54,3673.78,3558.44,3601.81,3904608,3601.81
2013-03-30,3708.23,3751.07,3692.68,3733.15,2283363,3733.15
2013-03-31,3715.13,3801.98,3693.78,3761.33,1960855,3761.33
2013-04-01,3851.32,3902.63,3759.37,3822.13,2880372,3822.13
2013-04-02,3658.3,3748.26,3651.71,3669.2,1669302,3669.2
2013-04-03,3660.38,3692.95,3647.55,3679.77,1022255,3679.77
2013-04-04,3652.31,3727.45,3600.07,3709.85,4495667,3709.85
2013-04-05,3705.6,3756.19,3701.78,3721.36,3316160,3721.36
2013-04-06,3689.17,3749.42,3681.58,3725.46,992438,3725.46
2013-04-07,3876.72,3925.76,3800.56,3827.62,1619640,3827.62
2013-04-08,3862.96,3890.43,3801.26,3826.02,2533883,3826.02
2013-04-09,3788.67,3867.57,3741.92,3746.72,2595078,3746.72
2013-04-10,3847.18,3859.19,3808.59,3833.74,774618,3833.74
2013-04-11,3825.76,3871.81,3793.11,3813.01,3553118,3813.01
2013-04-12,3886.39,3898.3,3834.41,3848.23,4082501,3848.23
2013-04-13,3903.51,3996.03,3873.19,3937.66,1608909,3937.66
2013-04-14,3944.42,3955.84,3873.01,3904.5,4702339,3904.5
2013-04-15,3957.94,3981.16,3913.44,3928.06,1253245,3928.06
2013-04-16,3810.81,3853.48,3808.79,3820.62,2936138,3820.62
2013-04-17,3776.13,3838.19,3761.78,3814.27,4457749,3814.27
2013-04-18,3759.59,3760.66,3710.18,3742.81,960809,3742.81
2013-04-19,3821.4,3836.47,3771.14,3810.31,2116647,3810.31
