Date,Open,High,Low,Close,Volume,Adj Close
2012-11-21,147.84,150.32,146.89,150.0,1347204,150.0
2012-11-22,150.76,153.48,145.98,148.31,2409540,148.31
2012-11-23,143.52,145.64,142.76,144.45,4497914,144.45
2012-11-24,143.23,146.83,141.74,145.4,1710398,145.4
2012-11-25,142.7,144.88,140.84,143.01,970386,143.01
2012-11-26,142.51,143.64,141.9,141.97,4428513,141.97
2012-11-27,140.29,144.31,139.12,141.16,2187693,141.16
2012-11-28,141.43,143.42,138.57,140.93,2896633,140.93
2012-11-29,144.12,146.55,140.08,142.47,1904198,142.47
2012-11-30,138.31,141.51,137.95,138.81,876839,138.81
2012-12-01,137.34,138.06,135.43,136.7,4703885,136.7
2012-12-02,139.56,141.09,136.57,138.33,1828541,138.33
2012-12-03,135.19,135.86,132.95,134.73,2786413,134.73
2012-12-04,133.78,135.46,132.51,134.74,3384615,134.74
2012-12-05,137.5,137.55,135.53,136.2,1436059,136.2
2012-12-06,138.1,139.72,137.01,137.54,720712,137.54
2012-12-07,139.23,139.36,136.37,137.87,2272464,137.87
2012-12-08,133.94,137.43,131.07,135.79,2755918,135.79
2012-12-09,134.4,136.91,134.38,135.67,4026788,135.67
2012-12-10,132.69,134.24,131.96,133.71,3584056,133.71
2012-12-11,131.97,134.2,130.89,133.2,3339774,133.2
2012-12-12,128.41,128.44,126.16,127.49,3929878,127.49
2012-12-13,123.26,124.63,122.13,123.69,3023293,123.69
2012-12-14,121.84,124.29,120.07,123.34,985589,123.34
2012-12-15,126.37,127.42,125.02,125.21,3332551,125.21
2012-12-16,126.69,128.86,123.03,124.96,859708,124.96
2012-12-17,128.23,128.56,126.66,127.16,2881640,127.16
2012-12-18,127.28,128.21,126.15,127.36,1227893,127.36
2012-12-19,131.38,134.41,130.88,132.88,1807546,132.88
2012-12-20,134.15,135.42,133.96,134.65,621323,134.65
2012-12-21,137.49,139.09,136.02,137.64,826199,137.64
2012-12-22,132.45,137.78,131.77,134.96,3096148,134.96
2012-12-23,138.96,141.09,135.95,139.52,2363386,139.52
2012-12-24,141.57,143.56,139.89,140.64,1506956,140.64
2012-12-25,142.21,142.36,140.81,141.97,3221847,141.97
2012-12-26,140.23,142.46,139.72,141.32,2199159,141.32
2012-12-27,141.24,143.98,138.94,142.75,4308383,142.75
