Date,Open,High,Low,Close,Volume,Adj Close
2012-11-21,4983.37,5005.65,4953.9,5000.0,4155200,5000.0
2012-11-22,4974.57,5011.71,4949.51,4993.2,8695082,4993.2
2012-11-23,5044.09,5069.59,5025.93,5033.51,3183525,5033.51
2012-11-24,5195.01,5217.22,5077.38,5127.01,5668223,5127.01
2012-11-25,5088.99,5146.45,5087.72,5114.15,9483063,5114.15
2012-11-26,5121.41,5134.27,5091.3,5101.31,3158344,5101.31
2012-11-27,5216.52,5235.87,5193.33,5199.52,4144787,5199.52
2012-11-28,5240.82,5287.97,5224.52,5248.96,9045391,5248.96
2012-11-29,5168.44,5234.61,5101.97,5220.96,9410184,5220.96
2012-11-30,5304.69,5352.18,5235.07,5256.52,3791338,5256.52
2012-12-01,5268.5,5332.11,5146.79,5228.87,9234025,5228.87
2012-12-02,5161.2,5208.16,5125.3,5201.21,8709824,5201.21
2012-12-03,5218.7,5229.74,5207.31,5217.87,3979845,5217.87
2012-12-04,5116.15,5170.85,5050.57,5099.64,3581505,5099.64
2012-12-05,5010.06,5034.97,4987.26,4995.61,8138512,4995.61
2012-12-06,4910.19,5017.76,4898.35,4963.4,6509165,4963.4
2012-12-07,4858.55,4955.2,4854.67,4904.57,4336640,4904.57
2012-12-08,4946.18,4971.39,4918.82,4924.53,5616167,4924.53
2012-12-09,4882.59,4890.78,4866.85,4872.35,3845376,4872.35
2012-12-10,4761.44,4826.27,4729.92,4791.24,8939174,4791.24
2012-12-11,4796.33,4952.48,4755.5,4876.94,5935371,4876.94
2012-12-12,4899.8,4904.36,4836.49,4865.19,4159016,4865.19
2012-12-13,4832.28,4908.35,4785.33,4870.6,5461595,4870.6
2012-12-14,4784.99,4793.14,4734.82,4788.78,2561014,4788.78
2012-12-15,4754.12,4783.81,4749.7,4758.94,7073877,4758.94
2012-12-16,4792.95,4840.4,4736.08,4766.7,4631171,4766.7
2012-12-17,4759.3,4791.07,4644.14,4702.29,6768212,4702.29
2012-12-18,4690.08,4725.59,4686.1,4724.9,2385049,4724.9
2012-12-19,4735.68,4767.6,4646.05,4692.27,9182320,4692.27
2012-12-20,4690.62,4714.2,4643.08,4677.25,6264482,4677.25
2012-12-21,4616.17,4679.47,4605.51,4644.88,5107560,4644.88
2012-12-22,4814.63,4845.43,4699.46,4749.52,2955206,4749.52
2012-12-23,4717.06,4772.69,4713.22,4750.17,1239647,4750.17
2012-12-24,4632.99,4769.73,4567.7,4691.31,7098915,4691.31
2012-12-25,4725.8,4765.0,4707.82,4739.02,9016792,4739.02
